Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
58,Podraščanin,ITA,13,8,5,1.08,50.0,26
58,Kaczmarek,POL,13,17,3,1.62,39.39,33
58,Huber,POL,13,5,2,1.18,65.0,20
59,Eshenko,CAN,12,2,1,1.0,80.0,15
59,Bruno,BRA,12,13,1,1.71,46.15,26
59,Plak,NED,12,5,4,1.0,57.14,21
59,Łomacz,POL,12,15,3,1.2,40.0,30
59,Kochanowski,POL,12,6,3,0.8,57.14,21
59,Porro L.,ITA,12,10,2,0.92,50.0,24
59,Nedeljković,SRB,12,10,2,1.0,50.0,24
59,Ensing,USA,12,5,1,1.5,66.67,18
59,Holt,USA,12,3,1,1.71,75.0,16
59,Bostan,TUR,12,7,1,1.5,60.0,20
60,Van Berkel,CAN,11,4,1,0.85,68.75,16
60,Kukartsev,ARG,11,7,2,0.85,55.0,20
60,Yamauchi,JPN,11,7,0,0.73,61.11,18
60,Simón,CUB,11,7,2,0.92,55.0,20
60,Flavio,BRA,11,4,2,0.92,64.71,17
60,Bednorz,POL,11,6,2,0.79,57.89,19
60,Galassi,ITA,11,1,2,1.38,78.57,14
61,Masso,CUB,10,3,6,0.83,52.63,19
61,Hanes,USA,10,8,2,1.43,50.0,20
61,Champlin,USA,10,2,0,2.5,83.33,12
61,Poręba,POL,10,2,1,1.25,76.92,13
61,Böhme,GER,10,7,3,1.25,50.0,20
61,Krick,GER,10,0,2,1.25,83.33,12
62,Matić,TUR,9,6,1,0.75,56.25,16
62,Ekşi,TUR,9,6,0,2.25,60.0,15
62,Ter Maat,NED,9,5,3,0.75,52.94,17
62,Atanasijević,SRB,9,17,4,0.75,30.0,30
62,Todorović,SRB,9,12,2,0.75,39.13,23
62,Mosca,ITA,9,4,0,1.8,69.23,13
63,Palacios,ARG,8,3,3,0.62,57.14,14
63,Honorato,BRA,8,5,1,0.62,57.14,14
63,Garcia,USA,8,4,2,2.0,57.14,14
63,Gasman,USA,8,1,0,2.0,88.89,9
63,Kessel,USA,8,8,2,1.33,44.44,18
63,Knigge,USA,8,2,5,1.6,53.33,15
63,Krage,GER,8,14,1,0.67,34.78,23
63,L. Bergmann,BRA,8,2,2,0.89,66.67,12
63,Firlej,POL,8,3,1,2.0,66.67,12
63,Smith,USA,8,1,1,1.14,80.0,10
64,Bultor,FRA,7,1,0,0.58,87.5,8
64,Isac,BRA,7,2,2,0.64,63.64,11
64,Hawryluk,POL,7,7,5,1.75,36.84,19
64,Butryn,POL,7,3,3,1.75,53.85,13
64,Kaliberda,GER,7,1,1,0.88,77.78,9
64,John,GER,7,6,0,1.75,53.85,13
64,Moslehabadi,IRI,7,4,1,0.64,58.33,12
64,Krsmanović,SRB,7,7,1,0.58,46.67,15
64,Tille,GER,7,14,3,0.88,29.17,24
64,Jendryk,USA,7,3,0,0.88,70.0,10
65,Takanashi,JPN,6,1,1,1.5,75.0,8
65,Parkinson,NED,6,2,1,0.5,66.67,9
65,Wiltenburg,NED,6,4,0,0.5,60.0,10
65,Tuaniga,USA,6,3,4,1.5,46.15,13
65,Jelveh,IRI,6,3,1,0.5,60.0,10
65,Mašulović N.,SRB,6,1,1,0.5,75.0,8
65,Judson,BRA,6,3,3,0.86,50.0,12
65,Averill,USA,6,5,0,0.75,54.55,11
65,Bieniek,POL,6,3,3,1.0,50.0,12
66,Garkov,BUL,5,1,0,0.62,83.33,6
66,Subaşı,TUR,5,1,2,1.67,62.5,8
66,Hoag,CAN,5,2,1,0.38,62.5,8
66,Demyanenko,CAN,5,3,1,0.38,55.56,9
66,Kentaro,JPN,5,4,2,0.36,45.45,11
66,Larry,JPN,5,1,1,0.33,71.43,7
66,Bračko,SLO,5,1,0,0.33,83.33,6
66,Isaacson,USA,5,5,2,1.25,41.67,12
66,Komenda,POL,5,3,0,0.83,62.5,8
66,Recine,ITA,5,4,1,0.38,50.0,10
66,Carle,FRA,5,3,1,0.38,55.56,9
66,Brehme,GER,5,1,1,1.25,71.43,7
66,Arshia,IRI,5,1,0,1.25,83.33,6
67,Briggs,USA,4,1,0,1.0,80.0,5
67,Szalpuk,POL,4,0,2,1.0,66.67,6
67,Ristić,SRB,4,8,1,0.33,30.77,13
67,Aydin,TUR,4,0,0,0.4,100.0,4
67,Ma'a,USA,4,4,0,0.5,50.0,8
67,Meijs,NED,4,3,0,0.5,57.14,7
67,Antov,BUL,4,8,3,1.0,26.67,15
68,Ramos,ARG,3,0,2,0.23,60.0,5
68,Alonso,CUB,3,1,1,0.25,60.0,5
68,Sanguinetti,ITA,3,2,3,0.23,37.5,8
68,Kłos,POL,3,2,2,0.5,42.86,7
68,Hofer,CAN,3,3,0,0.33,50.0,6
68,Matheus G.,BRA,3,6,1,0.43,30.0,10
68,Dobrev,BUL,3,2,0,0.75,60.0,5
69,Savaş,TUR,2,1,0,0.18,66.67,3
69,Štalekar,SLO,2,0,1,0.13,66.67,3
69,Jakubiszak,POL,2,0,0,0.5,100.0,2
69,Anzani,ITA,2,3,1,0.25,33.33,6
69,Petrov,BUL,2,0,0,0.67,100.0,2
69,Stankov,BUL,2,2,1,0.25,40.0,5
69,Gironi,ITA,2,6,0,0.4,25.0,8
69,Možič,SLO,2,1,0,0.5,66.67,3
70,Kolev,BUL,1,0,0,0.25,100.0,1
70,Telkiyski,BUL,1,1,0,0.25,50.0,2
70,Nachev,BUL,1,0,0,0.08,100.0,1
70,Chinenyeze,FRA,1,0,1,0.5,50.0,2
70,Walsh,CAN,1,1,0,0.08,50.0,2
70,Barnes,CAN,1,0,0,0.08,100.0,1
70,Gallego,ARG,1,0,1,0.08,50.0,2
70,Taboada,CUB,1,6,0,0.08,14.29,7
70,De Weijer,NED,1,1,0,0.25,50.0,2
70,Vinčić,SLO,1,1,0,0.11,50.0,2
70,Mujanović,SLO,1,1,2,0.07,25.0,4
70,Wildman,USA,1,0,0,0.25,100.0,1
70,Burggräf,GER,1,0,0,0.25,100.0,1
70,Javad,IRI,1,3,0,0.17,25.0,4
70,Barbast,IRI,1,0,0,0.09,100.0,1
70,Jouffroy,FRA,1,5,1,0.08,14.29,7
70,Esfandiar,IRI,1,1,1,0.25,33.33,3
70,Ahyi,NED,1,0,1,0.12,50.0,2
70,Oya,JPN,1,1,2,1.0,25.0,4
70,Porro P.,ITA,1,2,1,0.33,25.0,4
71,D. Kolev,BUL,0,0,0,,,0
71,Currie,CAN,0,0,0,,,0
71,Camino,CUB,0,0,0,,,0
71,Gorguet,CUB,0,0,0,,,0
71,Charles,CUB,0,0,0,,,0
71,Arthur,BRA,0,0,0,,,0
71,Van Der Ent,NED,0,1,0,0.0,0.0,1
71,Klok,NED,0,0,0,,,0
71,Bak,NED,0,0,0,,,0
71,Toman,SLO,0,2,0,0.0,0.0,2
71,Z. Štern,SLO,0,0,0,,,0
71,Kržič,SLO,0,0,0,,,0
71,Marshman,USA,0,1,1,0.0,0.0,2
71,Wetter,USA,0,2,0,0.0,0.0,2
71,Adamczyk,POL,0,1,0,0.0,0.0,1
71,Kunstmann,GER,0,0,0,,,0
71,Peter,GER,0,1,0,0.0,0.0,1
71,Goralik,GER,0,0,0,,,0
71,Nasri,IRI,0,1,0,0.0,0.0,1
71,Marovt,SLO,0,0,0,,,0
71,Kartev,BUL,0,0,0,,,0
71,Sadati,IRI,0,0,0,,,0
71,Bardarov,BUL,0,0,0,,,0
71,Planinšič,SLO,0,0,0,,,0
71,Cortesia,ITA,0,0,0,,,0
71,Rinaldi,ITA,0,0,0,,,0
71,Gaggini,ITA,0,0,0,,,0
71,Caneschi,ITA,0,0,1,0.0,0.0,1
71,Falaschi,ITA,0,2,1,0.0,0.0,3
71,Gardini,ITA,0,0,0,,,0
71,Aslan,TUR,0,0,0,,,0
71,Schnitzer,CAN,0,0,0,,,0
