Rank,Player Name,Team,Serve Points,Errors,Attemps,Average Per Match,Success,Total
12,Kai,JPN,8,17,56,0.53,9.88,81
12,Leal,BRA,8,26,88,0.73,6.56,122
12,Koops,NED,8,22,38,0.67,11.76,68
12,Maase,GER,8,19,111,0.67,5.8,138
12,Romanò,ITA,8,20,64,1.0,8.7,92
12,Karlitzek,GER,8,24,46,1.0,10.26,78
12,Fornal,POL,8,26,68,0.73,7.84,102
12,Defalco,USA,8,17,68,1.0,8.6,93
13,Faure,FRA,7,30,53,0.47,7.78,90
13,Seddik,FRA,7,51,65,0.47,5.69,123
13,Loser Bruno,ARG,7,21,169,0.54,3.55,197
13,Otsuka,JPN,7,13,91,0.54,6.31,111
13,Concepcion,CUB,7,22,135,0.58,4.27,164
13,Lopez,CUB,7,41,106,0.58,4.55,154
13,Alan,BRA,7,18,57,0.54,8.54,82
13,Keemink,NED,7,6,148,0.58,4.35,161
13,Plak,NED,7,36,60,0.58,6.8,103
13,Giannelli,ITA,7,18,88,0.88,6.19,113
13,Moslehabadi,IRI,7,23,63,0.64,7.53,93
13,Morteza,IRI,7,16,58,0.64,8.64,81
13,Anderson,USA,7,20,60,0.88,8.05,87
14,Grozdanov,BUL,6,20,100,0.5,4.76,126
14,Onodera,JPN,6,28,97,0.4,4.58,131
14,Knigge,USA,6,9,38,1.2,11.32,53
14,Milad,IRI,6,37,96,0.5,4.32,139
14,Mohammad,IRI,6,12,170,0.5,3.19,188
14,Atanasijević,SRB,6,27,53,0.5,6.98,86
14,Hofer,CAN,6,4,32,0.67,14.29,42
15,Toniutti,FRA,5,2,120,0.33,3.94,127
15,A. Lagumdzija,TUR,5,25,65,0.42,5.26,95
15,Yenipazar,TUR,5,17,84,0.42,4.72,106
15,Hoag,CAN,5,8,31,0.38,11.36,44
15,Tomita,JPN,5,7,35,0.38,10.64,47
15,Mergarejo,CUB,5,14,66,0.42,5.88,85
15,Wiltenburg,NED,5,7,57,0.42,7.25,69
15,Ewert,USA,5,12,53,0.62,7.14,70
15,Semeniuk,POL,5,16,62,0.36,6.02,83
15,Lavia,ITA,5,19,95,0.62,4.2,119
15,Nedeljković,SRB,5,15,99,0.42,4.2,119
15,Jouffroy,FRA,5,26,74,0.38,4.76,105
15,Tille,GER,5,14,59,0.62,6.41,78
15,Kampa,GER,5,10,61,0.62,6.58,76
15,Huber,POL,5,17,81,0.45,4.85,103
15,Bottolo,ITA,5,14,35,1.0,9.26,54
16,Dimitrov,BUL,4,23,63,0.33,4.44,90
16,M. Lagumdzija,TUR,4,11,42,0.33,7.02,57
16,Palacios,ARG,4,8,20,0.31,12.5,32
16,De Cecco,ARG,4,10,121,0.31,2.96,135
16,Yamauchi,JPN,4,12,118,0.27,2.99,134
16,Sekita,JPN,4,0,163,0.29,2.4,167
16,Isac,BRA,4,8,43,0.36,7.27,55
16,Ter Horst,NED,4,8,35,1.0,8.51,47
16,Ter Maat,NED,4,9,23,0.33,11.11,36
16,Śliwka,POL,4,15,55,0.29,5.41,74
16,Fromm,GER,4,9,29,0.33,9.52,42
16,Russo,ITA,4,17,57,0.5,5.13,78
16,Porro L.,ITA,4,26,48,0.31,5.13,78
16,Poriya,IRI,4,18,37,0.33,6.78,59
16,Salehi,IRI,4,14,36,0.36,7.41,54
16,Ivović,SRB,4,19,89,0.33,3.57,112
16,Grozer,GER,4,12,29,0.5,8.89,45
16,Schott,GER,4,14,52,0.5,5.71,70
16,Kurek,POL,4,27,60,0.4,4.4,91
16,Jaeschke,USA,4,8,28,1.0,10.0,40
16,Muagututia,USA,4,7,52,0.5,6.35,63
16,Bieniek,POL,4,14,62,0.67,5.0,80
17,Tillie,FRA,3,11,73,0.2,3.45,87
17,Ngapeth,FRA,3,9,38,0.5,6.0,50
17,Bultor,FRA,3,9,37,0.25,6.12,49
17,Wassenaar Ketrzynski,CAN,3,15,21,0.23,7.69,39
17,Sánchez B.,CUB,3,23,82,0.25,2.78,108
17,Thondike,CUB,3,19,123,0.25,2.07,145
17,Mauricio,BRA,3,8,33,0.25,6.82,44
17,Hanes,USA,3,14,24,0.43,7.32,41
17,Gasman,USA,3,10,22,0.75,8.57,35
17,Champlin,USA,3,6,21,0.75,10.0,30
17,Bednorz,POL,3,14,45,0.21,4.84,62
17,Adamczyk,POL,3,0,10,0.75,23.08,13
17,Reichert,GER,3,18,50,0.38,4.23,71
17,Sbertoli,ITA,3,11,70,0.23,3.57,84
17,Jelveh,IRI,3,10,73,0.25,3.49,86
17,Kovačević,SRB,3,16,37,0.25,5.36,56
17,L. Bergmann,BRA,3,7,38,0.33,6.25,48
17,Ran,JPN,3,13,39,0.6,5.45,55
17,Mosca,ITA,3,3,57,0.6,4.76,63
18,Chinenyeze,FRA,2,6,9,1.0,11.76,17
18,Le Goff,FRA,2,11,128,0.13,1.42,141
18,Subaşı,TUR,2,3,16,0.67,9.52,21
18,Eshenko,CAN,2,5,28,0.17,5.71,35
18,Ramos,ARG,2,4,29,0.15,5.71,35
18,Kentaro,JPN,2,11,74,0.14,2.3,87
18,Masso,CUB,2,19,29,0.17,4.0,50
18,Adriano,BRA,2,2,44,0.17,4.17,48
18,Fernando,BRA,2,16,141,0.15,1.26,159
18,Štalekar,SLO,2,2,25,0.13,6.9,29
18,Garcia,USA,2,8,13,0.5,8.7,23
18,John,GER,2,6,23,0.5,6.45,31
18,Recine,ITA,2,5,16,0.15,8.7,23
18,Sanguinetti,ITA,2,17,28,0.15,4.26,47
18,Galassi,ITA,2,22,66,0.25,2.22,90
18,Bovolenta,ITA,2,18,50,0.15,2.86,70
18,Jovović,SRB,2,11,95,0.17,1.85,108
18,Mašulović N.,SRB,2,4,38,0.17,4.55,44
18,Podraščanin,ITA,2,15,84,0.17,1.98,101
18,Judson,BRA,2,9,34,0.29,4.44,45
18,Kaczmarek,POL,2,7,45,0.25,3.7,54
18,Ensing,USA,2,9,20,0.25,6.45,31
18,Holt,USA,2,14,49,0.29,3.08,65
18,Jorna,NED,2,8,63,0.25,2.74,73
18,Antov,BUL,2,8,18,0.5,7.14,28
19,Kolev,BUL,1,3,9,0.25,7.69,13
19,Matić,TUR,1,7,69,0.08,1.3,77
19,Ekşi,TUR,1,5,33,0.25,2.56,39
19,Güneş,TUR,1,10,72,0.08,1.2,83
19,Demyanenko,CAN,1,12,42,0.08,1.82,55
19,Kukartsev,ARG,1,6,35,0.08,2.38,42
19,Fukatsu,JPN,1,1,36,0.07,2.63,38
19,Charles,CUB,1,3,4,0.12,12.5,8
19,Flavio,BRA,1,12,126,0.08,0.72,139
19,Van Der Ent,NED,1,1,13,0.08,6.67,15
19,Parkinson,NED,1,5,89,0.08,1.05,95
19,Bračko,SLO,1,11,10,0.07,4.55,22
19,Isaacson,USA,1,1,17,0.25,5.26,19
19,Marshman,USA,1,1,8,0.25,10.0,10
19,Łomacz,POL,1,2,46,0.1,2.04,49
19,Szalpuk,POL,1,7,12,0.25,5.0,20
19,Jakubiszak,POL,1,0,20,0.25,4.76,21
19,Peter,GER,1,2,4,0.25,14.29,7
19,Zimmermann,GER,1,8,52,0.14,1.64,61
19,Krage,GER,1,4,60,0.08,1.54,65
19,Böhme,GER,1,12,10,0.12,4.35,23
19,Anzani,ITA,1,2,28,0.12,3.23,31
19,Vadi,IRI,1,10,121,0.08,0.76,132
19,Nasri,IRI,1,4,5,0.12,10.0,10
19,Aydin,TUR,1,1,7,0.1,11.11,9
19,Krick,GER,1,5,45,0.12,1.96,51
19,Kłos,POL,1,3,36,0.17,2.5,40
19,Janusz,POL,1,5,74,0.1,1.25,80
19,Petrov,BUL,1,0,1,0.33,50.0,2
19,Russell,USA,1,4,25,0.25,3.33,30
19,Jendryk,USA,1,6,31,0.12,2.63,38
19,Christenson,USA,1,7,104,0.12,0.89,112
19,Ma'a,USA,1,10,28,0.12,2.56,39
19,Meijs,NED,1,11,23,0.12,2.86,35
19,Gironi,ITA,1,4,13,0.2,5.56,18
20,Garkov,BUL,0,7,9,0.0,0.0,16
20,Karyagin,BUL,0,14,32,0.0,0.0,46
20,Bozhilov,BUL,0,0,0,,,0
20,Valchinov,BUL,0,7,15,0.0,0.0,22
20,D. Kolev,BUL,0,0,0,,,0
20,Telkiyski,BUL,0,0,1,0.0,0.0,1
20,Nachev,BUL,0,4,14,0.0,0.0,18
20,Grebennikov,FRA,0,0,0,,,0
20,Diez,FRA,0,0,0,,,0
20,Savaş,TUR,0,11,17,0.0,0.0,28
20,Döne,TUR,0,0,0,,,0
20,Hatipoğlu,TUR,0,0,0,,,0
20,Walsh,CAN,0,1,8,0.0,0.0,9
20,Van Berkel,CAN,0,5,86,0.0,0.0,91
20,Barnes,CAN,0,0,1,0.0,0.0,1
20,Lui,CAN,0,0,0,,,0
20,Currie,CAN,0,0,0,,,0
20,Sanchez Pages,ARG,0,4,27,0.0,0.0,31
20,Martinez Franchi,ARG,0,7,15,0.0,0.0,22
20,Gallego,ARG,0,1,5,0.0,0.0,6
20,Danani,ARG,0,0,2,0.0,0.0,2
20,Zerba,ARG,0,15,144,0.0,0.0,159
20,Takanashi,JPN,0,1,8,0.0,0.0,9
20,Ogawa,JPN,0,0,0,,,0
20,Yamamoto,JPN,0,0,0,,,0
20,Larry,JPN,0,2,27,0.0,0.0,29
20,Garcia,CUB,0,0,0,,,0
20,Taboada,CUB,0,3,23,0.0,0.0,26
20,Camino,CUB,0,1,0,0.0,0.0,1
20,Alonso,CUB,0,2,19,0.0,0.0,21
20,Gorguet,CUB,0,0,0,,,0
20,Bruno,BRA,0,3,18,0.0,0.0,21
20,Honorato,BRA,0,0,0,,,0
20,Thales,BRA,0,0,0,,,0
20,Arthur,BRA,0,0,0,,,0
20,Klok,NED,0,0,0,,,0
20,Andringa,NED,0,0,1,0.0,0.0,1
20,De Weijer,NED,0,1,1,0.0,0.0,2
20,Bak,NED,0,0,0,,,0
20,Toman,SLO,0,0,0,,,0
20,Vinčić,SLO,0,0,3,0.0,0.0,3
20,Kovačič,SLO,0,0,0,,,0
20,Z. Štern,SLO,0,1,1,0.0,0.0,2
20,Mujanović,SLO,0,1,1,0.0,0.0,2
20,Kržič,SLO,0,0,0,,,0
20,Dagostino,USA,0,0,0,,,0
20,Tuaniga,USA,0,5,11,0.0,0.0,16
20,Briggs,USA,0,0,0,,,0
20,Kessel,USA,0,1,33,0.0,0.0,34
20,Wildman,USA,0,3,8,0.0,0.0,11
20,Wetter,USA,0,0,4,0.0,0.0,4
20,Komenda,POL,0,0,10,0.0,0.0,10
20,Hawryluk,POL,0,0,0,,,0
20,Butryn,POL,0,4,14,0.0,0.0,18
20,Szymura,POL,0,0,0,,,0
20,Poręba,POL,0,6,40,0.0,0.0,46
20,Graven,GER,0,0,0,,,0
20,Kaliberda,GER,0,6,10,0.0,0.0,16
20,Kunstmann,GER,0,0,0,,,0
20,Goralik,GER,0,1,0,0.0,0.0,1
20,Burggräf,GER,0,0,1,0.0,0.0,1
20,Balaso,ITA,0,0,0,,,0
20,Laurenzano,ITA,0,0,0,,,0
20,Hazrat,IRI,0,0,0,,,0
20,Javad,IRI,0,2,5,0.0,0.0,7
20,Arman,IRI,0,0,0,,,0
20,Barbast,IRI,0,2,8,0.0,0.0,10
20,Kapur,SRB,0,0,0,,,0
20,Ristić,SRB,0,0,0,,,0
20,Krsmanović,SRB,0,5,64,0.0,0.0,69
20,Todorović,SRB,0,5,22,0.0,0.0,27
20,Carle,FRA,0,9,11,0.0,0.0,20
20,Marovt,SLO,0,0,0,,,0
20,Brehme,GER,0,13,23,0.0,0.0,36
20,Popiwczak,POL,0,0,0,,,0
20,Firlej,POL,0,0,12,0.0,0.0,12
20,Stankov,BUL,0,2,7,0.0,0.0,9
20,Kartev,BUL,0,0,1,0.0,0.0,1
20,Esfandiar,IRI,0,1,6,0.0,0.0,7
20,Averill,USA,0,12,47,0.0,0.0,59
20,Smith,USA,0,4,15,0.0,0.0,19
20,E. Shoji,USA,0,0,0,,,0
20,Bostan,TUR,0,6,16,0.0,0.0,22
20,Ahyi,NED,0,6,9,0.0,0.0,15
20,Matheus G.,BRA,0,0,1,0.0,0.0,1
20,Sadati,IRI,0,0,0,,,0
20,Oya,JPN,0,0,4,0.0,0.0,4
20,Dobrev,BUL,0,0,0,,,0
20,Bardarov,BUL,0,0,0,,,0
20,Planinšič,SLO,0,0,0,,,0
20,Zenger,GER,0,0,0,,,0
20,Arshia,IRI,0,1,7,0.0,0.0,8
20,Porro P.,ITA,0,0,3,0.0,0.0,3
20,Cortesia,ITA,0,2,0,0.0,0.0,2
20,Rinaldi,ITA,0,1,2,0.0,0.0,3
20,Gaggini,ITA,0,0,0,,,0
20,Caneschi,ITA,0,3,4,0.0,0.0,7
20,Zatorski,POL,0,0,0,,,0
20,Možič,SLO,0,1,7,0.0,0.0,8
20,Falaschi,ITA,0,0,0,,,0
20,Gardini,ITA,0,0,0,,,0
20,Aslan,TUR,0,0,0,,,0
20,Schnitzer,CAN,0,0,0,,,0
