Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
60,J.Manavi,IRI,5,1,5,1.25,45.45,11
60,Vadi,IRI,5,0,3,1.25,62.5,8
61,Leandro,BRA,4,0,1,0.57,80.0,5
61,Averill,USA,4,0,0,0.8,100.0,4
61,Sanay,MEX,4,5,8,1.33,23.53,17
61,Hile,CMR,4,0,3,1.33,57.14,7
61,M. Lagumdzija,TUR,4,2,7,1.0,30.77,13
61,Ekşi,TUR,4,1,2,1.0,57.14,7
61,Deyo,EGY,4,3,11,1.33,22.22,18
61,Poluian,UKR,4,2,3,0.8,44.44,9
61,Howe,CAN,4,1,2,1.33,57.14,7
62,Sánchez B.,CUB,3,1,0,0.75,75.0,4
62,Miyaura,JPN,3,3,4,0.75,30.0,10
62,Schott,GER,3,5,4,0.75,25.0,12
62,Aranda,MEX,3,0,2,1.0,60.0,5
62,Kwolek,POL,3,0,3,0.43,50.0,6
62,Atanasov,BUL,3,2,8,1.0,23.08,13
62,Vinčić,SLO,3,0,5,0.43,37.5,8
62,Mandengo,CMR,3,1,2,1.0,50.0,6
62,Doğukan U.,TUR,3,1,1,0.75,60.0,5
62,Li Y.Z.,CHN,3,3,2,1.0,37.5,8
62,Wang B.,CHN,3,4,3,1.0,30.0,10
62,Jorna,NED,3,2,7,0.75,25.0,12
62,Ter Maat,NED,3,3,6,0.75,25.0,12
62,Elhossiny,EGY,3,0,0,1.0,100.0,3
62,M.Elmahdy,EGY,3,4,1,1.0,37.5,8
62,Gallego,ARG,3,0,3,0.6,50.0,6
62,Iglesias,PUR,3,0,0,1.0,100.0,3
62,Lopez,PUR,3,4,4,1.0,27.27,11
62,Loeppky,CAN,3,6,7,1.0,18.75,16
63,Fernando,BRA,2,0,2,0.29,50.0,4
63,Roque,BRA,2,0,0,0.29,100.0,2
63,Poręba,POL,2,1,1,0.29,50.0,4
63,Seganov,BUL,2,0,3,0.67,40.0,5
63,Deffo,CMR,2,1,1,0.67,50.0,4
63,Martinez Franchi,ARG,2,2,4,0.4,25.0,8
63,Ben Slimene K,TUN,2,0,2,0.5,50.0,4
63,Shchytkov,UKR,2,0,0,0.4,100.0,2
63,Jovović,SRB,2,0,1,0.5,66.67,3
64,Goide,CUB,1,0,0,0.25,100.0,1
64,J. Gutierrez,CUB,1,0,0,0.25,100.0,1
64,Milos,QAT,1,0,1,0.33,50.0,2
64,Henry,FRA,1,0,1,0.2,50.0,2
64,Tuaniga,USA,1,0,0,0.2,100.0,1
64,Kłos,POL,1,0,3,0.14,25.0,4
64,Łomacz,POL,1,0,0,0.14,100.0,1
64,Kolev,BUL,1,0,0,0.33,100.0,1
64,Ropret,SLO,1,0,5,0.14,16.67,6
64,Ahmed,CMR,1,0,1,0.33,50.0,2
64,Dai Q.Y.,CHN,1,2,1,0.33,25.0,4
64,Yu Y.C.,CHN,1,0,1,0.33,50.0,2
64,Van Garderen,NED,1,4,4,0.25,11.11,9
64,A. Kotb,EGY,1,4,3,0.33,12.5,8
64,Hoyos,PUR,1,0,1,0.33,50.0,2
64,Torres,PUR,1,1,1,0.33,33.33,3
64,Pinali,ITA,1,0,0,0.14,100.0,1
65,Bruno,BRA,0,0,2,0.0,0.0,2
65,Maique,BRA,0,0,0,,,0
65,Thales,BRA,0,0,0,,,0
65,Concepcion,CUB,0,0,0,,,0
65,Garcia,CUB,0,0,0,,,0
65,Gutierrez,CUB,0,0,0,,,0
65,Taboada,CUB,0,0,2,0.0,0.0,2
65,Gorguet,CUB,0,0,0,,,0
65,Takanashi,JPN,0,0,0,,,0
65,Sekita,JPN,0,0,0,,,0
65,Oya,JPN,0,0,0,,,0
65,Ogawa,JPN,0,0,0,,,0
65,Yamamoto,JPN,0,0,0,,,0
65,Sato,JPN,0,0,0,,,0
65,Murayama,JPN,0,0,0,,,0
65,M. Essam,QAT,0,0,0,,,0
65,Sulaiman,QAT,0,0,0,,,0
65,Bojan,QAT,0,1,1,0.0,0.0,2
65,Ababacar,QAT,0,0,0,,,0
65,Abdullah,QAT,0,0,0,,,0
