Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
70,Bleeker,NED,0,0,0,0
70,Andringa,NED,0,0,0,0
70,De Weijer,NED,0,0,0,0
70,Wiltenburg,NED,0,0,0,0
70,A. Fathy,EGY,0,0,0,0
70,M. Reda,EGY,0,0,0,0
70,M. Ramadan,EGY,0,0,0,0
70,M. Magdy,EGY,0,0,0,0
70,Sanchez Pages,ARG,0,0,0,0
70,Danani,ARG,0,0,0,0
70,Jelveh,IRI,0,0,0,0
70,Shahrooz,IRI,0,0,0,0
70,Hazrat,IRI,0,0,0,0
70,M. R. Moazzen,IRI,0,0,0,0
70,Javad,IRI,0,0,0,0
70,Abdelhedi Y,TUN,0,0,0,0
70,Bennour R.,TUN,0,0,0,0
70,Mbareki S.,TUN,0,0,0,0
70,Ben Taher.M,TUN,0,0,0,0
70,Bongui.A,TUN,0,0,0,0
70,Hmissi S,TUN,0,0,0,0
70,Korbosli T,TUN,0,0,0,0
70,Del Valle,PUR,0,0,0,0
70,Cabrera,PUR,0,0,0,0
70,Nido,PUR,0,0,0,0
70,Alomar,PUR,0,0,0,0
70,Elias,PUR,0,0,0,0
70,Shevchenko,UKR,0,0,0,0
70,Brova,UKR,0,0,0,0
70,Ostapenko,UKR,0,0,0,0
70,Fomin,UKR,0,0,0,0
70,Kanaiev,UKR,0,0,0,0
70,Katic,SRB,0,0,0,0
70,Pekovic,SRB,0,0,0,0
70,Krsmanović,SRB,0,0,0,0
70,Perić,SRB,0,0,0,0
70,Recine,ITA,0,0,0,0
70,Balaso,ITA,0,0,0,0
70,Sbertoli,ITA,0,0,0,0
70,Bottolo,ITA,0,0,0,0
70,Scanferla,ITA,0,0,0,0
70,Mosca,ITA,0,0,0,0
70,Walsh,CAN,0,0,0,0
70,Eshenko,CAN,0,0,0,0
70,Hofer,CAN,0,0,0,0
70,Marshall,CAN,0,0,0,0
70,M. Elser,CAN,0,0,0,0
