Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
16,Kaczmarek,POL,1,8,3,0.14,-58.33,12
16,Janusz,POL,1,6,4,0.14,-45.45,11
16,Poręba,POL,1,0,2,0.14,33.33,3
16,Atanasov,BUL,1,4,1,0.33,-50.0,6
16,Asparuhov,BUL,1,11,6,0.33,-55.56,18
16,S.Ivanov,BUL,1,1,2,0.33,0.0,4
16,A. Nikolov,BUL,1,6,2,0.33,-55.56,9
16,Dolengombai,CMR,1,5,1,0.33,-57.14,7
16,Bitouna,CMR,1,0,0,0.33,100.0,1
16,Landry,CMR,1,3,1,0.33,-40.0,5
16,Yu Y.T.,CHN,1,4,0,0.33,-60.0,5
16,Li Y.Z.,CHN,1,2,1,0.33,-25.0,4
16,Zhang G.H.,CHN,1,3,1,0.33,-40.0,5
16,Zhang J.Y.,CHN,1,3,0,0.33,-50.0,4
16,Jorna,NED,1,0,0,0.25,100.0,1
16,Deyo,EGY,1,1,0,0.33,0.0,2
16,Gallego,ARG,1,1,0,0.2,0.0,2
16,Kukartsev,ARG,1,0,1,0.2,50.0,2
16,Vadi,IRI,1,4,1,0.25,-50.0,6
16,Nagga H.,TUN,1,9,4,0.25,-57.14,14
16,Lawrence,PUR,1,7,7,0.33,-40.0,15
16,Iglesias,PUR,1,8,6,0.33,-46.67,15
16,Poluian,UKR,1,2,2,0.2,-20.0,5
16,Shchytkov,UKR,1,9,3,0.2,-61.54,13
16,Kisiliuk,UKR,1,3,0,0.2,-50.0,4
16,Synytsia,UKR,1,5,2,0.2,-50.0,8
16,Mašulović N.,SRB,1,3,1,0.25,-40.0,5
16,Todorović,SRB,1,0,0,0.25,100.0,1
16,Epp,CAN,1,2,0,0.33,-33.33,3
16,Barnes,CAN,1,1,2,0.33,0.0,4
16,Szwarc,CAN,1,11,1,0.33,-76.92,13
17,Maique,BRA,0,0,0,,,0
17,Thales,BRA,0,0,0,,,0
17,Darlan,BRA,0,1,0,0.0,-100.0,1
17,Mergarejo,CUB,0,4,1,0.0,-80.0,5
17,Concepcion,CUB,0,0,0,,,0
17,Garcia,CUB,0,0,0,,,0
17,Gutierrez,CUB,0,0,0,,,0
17,J. Gutierrez,CUB,0,0,0,,,0
17,Yant,CUB,0,6,2,0.0,-75.0,8
17,Gorguet,CUB,0,0,0,,,0
17,Otsuka,JPN,0,1,0,0.0,-100.0,1
17,Takanashi,JPN,0,1,0,0.0,-100.0,1
17,Sekita,JPN,0,2,1,0.0,-66.67,3
17,Oya,JPN,0,0,0,,,0
17,Ogawa,JPN,0,0,0,,,0
17,Miyaura,JPN,0,0,1,0.0,0.0,1
17,Yamamoto,JPN,0,0,0,,,0
17,Sato,JPN,0,0,0,,,0
17,Murayama,JPN,0,0,0,,,0
17,M. Essam,QAT,0,0,0,,,0
17,Sulaiman,QAT,0,0,0,,,0
17,Bojan,QAT,0,0,0,,,0
17,Ababacar,QAT,0,0,0,,,0
17,Mubarak,QAT,0,1,1,0.0,-50.0,2
17,Abdullah,QAT,0,0,0,,,0
17,A. Jamal,QAT,0,0,0,,,0
17,Osman,QAT,0,0,0,,,0
17,Grebennikov,FRA,0,0,0,,,0
17,Toniutti,FRA,0,2,1,0.0,-66.67,3
17,Henry,FRA,0,2,0,0.0,-100.0,2
17,Louati,FRA,0,4,1,0.0,-80.0,5
17,Diez,FRA,0,0,0,,,0
17,Schott,GER,0,1,4,0.0,-20.0,5
17,Reichert,GER,0,2,1,0.0,-66.67,3
17,Sossenheimer,GER,0,0,0,,,0
17,Zenger,GER,0,0,0,,,0
17,Kampa,GER,0,5,0,0.0,-100.0,5
17,Zimmermann,GER,0,0,0,,,0
17,Krage,GER,0,10,1,0.0,-90.91,11
17,Brand,GER,0,2,0,0.0,-100.0,2
17,Günthör,GER,0,0,0,,,0
17,Ensing,USA,0,3,0,0.0,-100.0,3
17,K. Russell,USA,0,0,0,,,0
17,Tuaniga,USA,0,2,3,0.0,-40.0,5
17,Muagututia,USA,0,3,1,0.0,-75.0,4
17,Briggs,USA,0,0,0,,,0
17,E. Shoji,USA,0,0,0,,,0
17,Kessel,USA,0,0,0,,,0
17,Mendoza,MEX,0,0,0,,,0
17,Bravo,MEX,0,0,0,,,0
17,Ferran,MEX,0,0,0,,,0
17,Mendoza,MEX,0,0,0,,,0
17,Martinez,MEX,0,22,7,0.0,-75.86,29
17,Chavez,MEX,0,1,0,0.0,-100.0,1
17,Sanay,MEX,0,1,0,0.0,-100.0,1
17,Baca,MEX,0,1,1,0.0,-50.0,2
17,Lopez B.,MEX,0,0,0,,,0
17,Popiwczak,POL,0,0,0,,,0
17,Łomacz,POL,0,2,0,0.0,-100.0,2
17,Zatorski,POL,0,0,0,,,0
17,Kwolek,POL,0,4,0,0.0,-100.0,4
17,Karyagin,BUL,0,0,0,,,0
17,Chavdarov,BUL,0,0,0,,,0
17,D. Dimitrov,BUL,0,1,0,0.0,-100.0,1
17,Skrimov,BUL,0,0,0,,,0
17,V. Ivanov,BUL,0,0,0,,,0
17,Gasparini,SLO,0,0,0,,,0
17,Štalekar,SLO,0,0,0,,,0
17,Koncilja,SLO,0,0,0,,,0
17,Klobucar,SLO,0,0,0,,,0
17,Kovačič,SLO,0,0,0,,,0
17,Z. Štern,SLO,0,0,0,,,0
17,Amabaya,CMR,0,0,0,,,0
17,Mandengo,CMR,0,0,0,,,0
17,Hile,CMR,0,2,0,0.0,-100.0,2
17,Deffo,CMR,0,0,0,,,0
17,Bassoko,CMR,0,0,0,,,0
17,Djam,CMR,0,0,0,,,0
17,Metin T.,TUR,0,0,0,,,0
17,Bostan,TUR,0,0,0,,,0
17,Bayraktar,TUR,0,0,0,,,0
17,Tümer,TUR,0,0,0,,,0
17,Gürbüz,TUR,0,0,0,,,0
17,Döne,TUR,0,0,0,,,0
17,Dai Q.Y.,CHN,0,1,0,0.0,-100.0,1
17,Yang Y.M.,CHN,0,0,0,,,0
17,Zhang B.L.,CHN,0,0,0,,,0
17,Yu Y.C.,CHN,0,1,1,0.0,-50.0,2
17,Yang T.Y.,CHN,0,0,0,,,0
17,Liu M.,CHN,0,1,0,0.0,-100.0,1
17,Miao R.T.,CHN,0,0,0,,,0
17,Wang B.,CHN,0,0,0,,,0
17,Van Garderen,NED,0,0,0,,,0
17,Van Der Ent,NED,0,0,0,,,0
17,Bleeker,NED,0,0,0,,,0
17,Ter Maat,NED,0,1,0,0.0,-100.0,1
17,Andringa,NED,0,0,0,,,0
17,De Weijer,NED,0,0,0,,,0
17,Wiltenburg,NED,0,0,0,,,0
17,A. Fathy,EGY,0,0,0,,,0
17,M. Reda,EGY,0,0,0,,,0
17,Elhossiny,EGY,0,2,0,0.0,-100.0,2
17,M. Ramadan,EGY,0,0,0,,,0
17,M.Elmahdy,EGY,0,0,0,,,0
17,A. Kotb,EGY,0,0,1,0.0,0.0,1
17,R.Haikal,EGY,0,5,0,0.0,-100.0,5
17,A.Said,EGY,0,7,0,0.0,-100.0,7
17,M. Magdy,EGY,0,1,0,0.0,-100.0,1
17,Sanchez Pages,ARG,0,1,0,0.0,-100.0,1
17,Martinez Franchi,ARG,0,1,0,0.0,-100.0,1
17,Danani,ARG,0,0,0,,,0
17,Palonsky,ARG,0,1,0,0.0,-100.0,1
17,Jelveh,IRI,0,0,0,,,0
17,Shahrooz,IRI,0,0,0,,,0
17,Hazrat,IRI,0,0,0,,,0
17,M. R. Moazzen,IRI,0,0,0,,,0
17,Kazemi,IRI,0,3,0,0.0,-100.0,3
17,Javad,IRI,0,1,0,0.0,-100.0,1
17,Morteza,IRI,0,1,1,0.0,-50.0,2
17,Abdelhedi Y,TUN,0,0,0,,,0
17,Bennour R.,TUN,0,0,0,,,0
17,Mbareki S.,TUN,0,0,0,,,0
17,Ben Taher.M,TUN,0,1,0,0.0,-100.0,1
17,Bongui.A,TUN,0,0,0,,,0
17,Hmissi S,TUN,0,0,0,,,0
17,Korbosli T,TUN,0,0,0,,,0
17,Hoyos,PUR,0,0,0,,,0
17,Del Valle,PUR,0,0,0,,,0
17,Torres,PUR,0,0,0,,,0
17,Lopez,PUR,0,5,0,0.0,-100.0,5
17,Cabrera,PUR,0,0,0,,,0
17,Nido,PUR,0,1,0,0.0,-100.0,1
17,Vargas,PUR,0,9,3,0.0,-75.0,12
17,Alomar,PUR,0,0,1,0.0,0.0,1
17,Elias,PUR,0,0,1,0.0,0.0,1
17,Shevchenko,UKR,0,0,0,,,0
17,Brova,UKR,0,0,0,,,0
17,Ostapenko,UKR,0,0,0,,,0
17,Fomin,UKR,0,0,0,,,0
17,Kanaiev,UKR,0,0,0,,,0
17,Petric,SRB,0,2,2,0.0,-50.0,4
17,Katic,SRB,0,0,0,,,0
17,Pekovic,SRB,0,0,0,,,0
17,Krsmanović,SRB,0,0,0,,,0
17,Perić,SRB,0,0,0,,,0
17,Pinali,ITA,0,0,0,,,0
17,Recine,ITA,0,0,0,,,0
17,Balaso,ITA,0,0,0,,,0
17,Sbertoli,ITA,0,0,0,,,0
17,Bottolo,ITA,0,0,0,,,0
17,Scanferla,ITA,0,0,0,,,0
17,Mosca,ITA,0,0,0,,,0
17,Hoag,CAN,0,1,0,0.0,-100.0,1
17,Loeppky,CAN,0,2,0,0.0,-100.0,2
17,Walsh,CAN,0,1,0,0.0,-100.0,1
17,Sclater,CAN,0,6,1,0.0,-85.71,7
17,Eshenko,CAN,0,0,0,,,0
17,Hofer,CAN,0,0,0,,,0
17,Howe,CAN,0,0,0,,,0
17,Marshall,CAN,0,0,0,,,0
17,M. Elser,CAN,0,0,0,,,0
