Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
41,Bleeker,NED,0,0,0,,,0
41,Ter Maat,NED,0,0,1,0.0,0.0,1
41,Wiltenburg,NED,0,0,1,0.0,0.0,1
41,A. Fathy,EGY,0,0,0,,,0
41,A. Seoudy,EGY,0,0,0,,,0
41,Elhossiny,EGY,0,0,0,,,0
41,M. Ramadan,EGY,0,0,0,,,0
41,Deyo,EGY,0,0,0,,,0
41,M. Magdy,EGY,0,0,0,,,0
41,Martinez Franchi,ARG,0,0,0,,,0
41,Gallego,ARG,0,0,0,,,0
41,Palacios,ARG,0,0,3,0.0,0.0,3
41,Ramos,ARG,0,0,2,0.0,0.0,2
41,Zerba,ARG,0,0,0,,,0
41,Kukartsev,ARG,0,0,0,,,0
41,Jelveh,IRI,0,0,0,,,0
41,Shahrooz,IRI,0,0,0,,,0
41,M. R. Moazzen,IRI,0,0,0,,,0
41,Kazemi,IRI,0,0,2,0.0,0.0,2
41,J.Manavi,IRI,0,0,2,0.0,0.0,2
41,Mojarad,IRI,0,0,1,0.0,0.0,1
41,Kadhi A,TUN,0,0,1,0.0,0.0,1
41,B.Othmen M.,TUN,0,0,0,,,0
41,Karamosli E,TUN,0,1,4,0.0,0.0,5
41,Abdelhedi Y,TUN,0,0,0,,,0
41,Nagga H.,TUN,0,0,1,0.0,0.0,1
41,Bennour R.,TUN,0,0,1,0.0,0.0,1
41,Mbareki S.,TUN,0,0,0,,,0
41,Ben Taher.M,TUN,0,0,0,,,0
41,Bongui.A,TUN,0,0,0,,,0
41,Bouguerra.A,TUN,0,0,1,0.0,0.0,1
41,Hmissi S,TUN,0,0,3,0.0,0.0,3
41,Korbosli T,TUN,0,0,0,,,0
41,Lawrence,PUR,0,1,1,0.0,0.0,2
41,Hoyos,PUR,0,0,0,,,0
41,Del Valle,PUR,0,0,1,0.0,0.0,1
41,Nieves,PUR,0,0,0,,,0
41,Torres,PUR,0,0,0,,,0
41,Lopez,PUR,0,0,0,,,0
41,Molina,PUR,0,0,0,,,0
41,Cabrera,PUR,0,0,5,0.0,0.0,5
41,Vargas,PUR,0,0,0,,,0
41,Rodriguez,PUR,0,1,3,0.0,0.0,4
41,Alomar,PUR,0,0,3,0.0,0.0,3
41,Elias,PUR,0,0,0,,,0
41,Poluian,UKR,0,0,0,,,0
41,Drozd,UKR,0,0,1,0.0,0.0,1
41,Shevchenko,UKR,0,0,0,,,0
41,Plotnytskyi,UKR,0,1,11,0.0,0.0,12
41,Brova,UKR,0,0,0,,,0
41,Ostapenko,UKR,0,0,0,,,0
41,Semeniuk,UKR,0,2,1,0.0,0.0,3
41,Fomin,UKR,0,0,0,,,0
