Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
31,Li Y.Z.,CHN,1,0,0,0.33,100.0,1
31,Zhang Z.J.,CHN,1,0,0,0.33,100.0,1
31,De Weijer,NED,1,0,0,0.25,100.0,1
31,Martinez Franchi,ARG,1,0,0,0.2,100.0,1
31,Toukhteh,IRI,1,1,1,0.25,33.33,3
31,Amin,IRI,1,6,0,0.25,14.29,7
31,Bennour R.,TUN,1,0,0,0.25,100.0,1
31,Ben Taher.M,TUN,1,0,0,0.25,100.0,1
31,Lopez,PUR,1,3,0,0.33,25.0,4
31,Kisiliuk,UKR,1,1,1,0.2,33.33,3
31,Synytsia,UKR,1,3,0,0.2,25.0,4
31,Szwarc,CAN,1,0,0,0.33,100.0,1
32,Maique,BRA,0,0,0,,,0
32,Sánchez B.,CUB,0,0,0,,,0
32,Concepcion,CUB,0,0,0,,,0
32,Osoria,CUB,0,1,0,0.0,0.0,1
32,Gutierrez,CUB,0,0,0,,,0
32,J. Gutierrez,CUB,0,0,0,,,0
32,Yamauchi,JPN,0,0,0,,,0
32,Takanashi,JPN,0,0,0,,,0
32,Ogawa,JPN,0,0,0,,,0
32,Miyaura,JPN,0,0,0,,,0
32,Sato,JPN,0,0,0,,,0
32,Murayama,JPN,0,0,0,,,0
32,Bojan,QAT,0,0,0,,,0
32,Ababacar,QAT,0,0,0,,,0
32,Abdullah,QAT,0,0,0,,,0
32,A. Jamal,QAT,0,0,0,,,0
32,Osman,QAT,0,0,0,,,0
32,Chinenyeze,FRA,0,1,0,0.0,0.0,1
32,Sossenheimer,GER,0,0,0,,,0
32,Krick,GER,0,0,2,0.0,0.0,2
32,Maase,GER,0,1,0,0.0,0.0,1
32,Günthör,GER,0,0,0,,,0
32,Jendryk,USA,0,3,1,0.0,0.0,4
32,Tuaniga,USA,0,3,0,0.0,0.0,3
32,Briggs,USA,0,0,0,,,0
32,Kessel,USA,0,0,0,,,0
32,Ferran,MEX,0,0,0,,,0
32,Mendoza,MEX,0,0,0,,,0
32,Chavez,MEX,0,0,0,,,0
32,Baca,MEX,0,0,0,,,0
32,Lopez B.,MEX,0,0,0,,,0
32,Karyagin,BUL,0,0,0,,,0
32,Chavdarov,BUL,0,0,0,,,0
32,Atanasov,BUL,0,4,0,0.0,0.0,4
32,D. Dimitrov,BUL,0,0,0,,,0
32,Skrimov,BUL,0,0,0,,,0
