web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742813626-117","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Recine","ITA","1","0","37","0.03","2.63","38"
"1742813626-118","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Alonso","CUB","1","0","1","0.03","50.00","2"
"1742813626-119","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Ricci","ITA","1","0","9","0.03","10.00","10"
"1742813626-120","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Simón","CUB","1","1","21","0.03","4.35","23"
"1742813626-121","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Andringa","NED","1","2","14","0.03","5.88","17"
"1742813626-122","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Plak","NED","1","0","12","0.04","7.69","13"
"1742813626-123","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Guzzo","ITA","1","0","3","0.04","25.00","4"
"1742813626-124","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Faure","FRA","1","0","31","0.04","3.12","32"
"1742813626-125","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Mazzone","ITA","1","0","12","0.04","7.69","13"
"1742813626-126","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","D'heer","BEL","1","0","2","0.03","33.33","3"
"1742813626-127","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Luzzi","ITA","1","0","0","0.05","100.00","1"
"1742813626-128","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Ekstrand","SWE","1","0","1","0.05","50.00","2"
"1742813626-129","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Raffaelli","ITA","1","0","3","0.05","25.00","4"
"1742813626-130","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Grozdanov","BUL","1","2","8","0.03","9.09","11"
"1742813626-131","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Truhtchev","FRA","1","0","2","0.17","33.33","3"
"1742813626-132","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Stefani","ITA","1","0","7","0.07","12.50","8"
"1742813626-133","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Bristot","ITA","1","0","0","1.00","100.00","1"
"1742813626-134","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Candellaro","ITA","0","0","0","","","0"
"1742813626-135","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Held","ITA","0","0","2","0.00","0.00","2"
"1742813626-136","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Toscani","ITA","0","0","1","0.00","0.00","1"
"1742813626-137","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Leon","POL","0","0","25","0.00","0.00","25"
"1742813626-138","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Flavio","BRA","0","1","23","0.00","0.00","24"
"1742813626-139","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Baldi","ITA","0","0","1","0.00","0.00","1"
"1742813626-140","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Pinali","ITA","0","0","1","0.00","0.00","1"
"1742813626-141","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Brehme","GER","0","0","13","0.00","0.00","13"
"1742813626-142","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Federici","ITA","0","0","37","0.00","0.00","37"
"1742813626-143","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Sighinolfi","ITA","0","0","0","","","0"
"1742813626-144","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Innocenzi","ITA","0","0","0","","","0"
"1742813626-145","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Colombo","ITA","0","0","2","0.00","0.00","2"
"1742813626-146","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Motzo","ITA","0","0","0","","","0"
"1742813626-147","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Bisotto","ITA","0","0","7","0.00","0.00","7"
"1742813626-148","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","A. Nikolov","BUL","0","0","31","0.00","0.00","31"
"1742813626-149","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Diamantini","ITA","0","2","11","0.00","0.00","13"
"1742813626-150","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Larizza","ITA","0","0","0","","","0"
"1742813626-151","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Comparoni","ITA","0","0","0","","","0"
"1742813626-152","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Lawani","FRA","0","0","0","","","0"
"1742813626-153","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Morazzini","ITA","0","0","0","","","0"
"1742813626-154","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Beretta","ITA","0","0","2","0.00","0.00","2"
"1742813626-155","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Leal","BRA","0","1","31","0.00","0.00","32"
"1742813626-156","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Caneschi","ITA","0","2","11","0.00","0.00","13"
"1742813626-157","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Cardenas","CUB","0","0","4","0.00","0.00","4"
"1742813626-158","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Taniguchi","JPN","0","0","2","0.00","0.00","2"
"1742813626-159","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Crosato","ITA","0","1","12","0.00","0.00","13"
"1742813626-160","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Fusaro","ITA","0","0","1","0.00","0.00","1"
"1742813626-161","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","De Santis","ITA","0","0","3","0.00","0.00","3"
"1742813626-162","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Finauri","ITA","0","0","8","0.00","0.00","8"
"1742813626-163","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Rossi","ITA","0","1","8","0.00","0.00","9"
"1742813626-164","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Czerwinski","AUT","0","0","4","0.00","0.00","4"
