Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
61,Lucconi,ITA,0,0,0,,,0
61,Cottarelli,ITA,0,0,2,0.0,0.0,2
61,Garcia,USA,0,2,0,0.0,0.0,2
61,Sottile,ITA,0,0,0,,,0
61,Ambrose,ITA,0,0,0,,,0
61,De Cecco,ARG,0,2,10,0.0,0.0,12
61,Cengia,ITA,0,0,0,,,0
61,Zoppellari,ITA,0,1,2,0.0,0.0,3
61,Saitta,ITA,0,7,20,0.0,0.0,27
61,Guzzo,ITA,0,1,0,0.0,0.0,1
61,Petkovic,SRB,0,1,8,0.0,0.0,9
61,Bruno,BRA,0,3,12,0.0,0.0,15
61,Salsi,ITA,0,0,1,0.0,0.0,1
61,Malavasi,ITA,0,0,0,,,0
61,Fontani,ITA,0,0,0,,,0
61,Pellegrini,ITA,0,0,0,,,0
61,Bernardis,ITA,0,0,0,,,0
61,Martinez,ITA,0,0,0,,,0
61,Zimmermann,GER,0,1,11,0.0,0.0,12
61,Lostritto,ITA,0,0,0,,,0
61,Morazzini,ITA,0,0,0,,,0
61,Fusaro,ITA,0,0,0,,,0
61,Rossi,ITA,0,0,0,,,0
61,Frascio,ITA,0,0,0,,,0
61,Zanellotti,ITA,0,0,0,,,0
61,Bartman,POL,0,0,0,,,0
61,Favaro,ITA,0,0,0,,,0
61,Fernando,BRA,0,2,2,0.0,0.0,4
61,Menazza,ITA,0,0,0,,,0
61,De Santis,ITA,0,0,0,,,0
61,Massafeli,ITA,0,0,0,,,0
61,Gustavo Cavalcanti,POR,0,0,0,,,0
61,Penna,ITA,0,0,0,,,0
61,Branco,ITA,0,0,0,,,0
