web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1742812733-102","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","71","D'Amico","ITA","19","9","18","0.51","41.30","46"
"1742812733-103","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","72","Pierri","ITA","18","12","4","0.69","52.94","34"
"1742812733-104","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","72","Canella","ITA","18","10","21","0.60","36.73","49"
"1742812733-105","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","73","Caneschi","ITA","17","18","26","0.49","27.87","61"
"1742812733-106","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","73","Mosca","ITA","17","25","11","0.55","32.08","53"
"1742812733-107","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","73","Gargiulo","ITA","17","9","11","0.65","45.95","37"
"1742812733-108","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","74","Flavio","BRA","16","16","15","0.48","34.04","47"
"1742812733-109","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","74","Mazzone","ITA","16","11","16","0.76","37.21","43"
"1742812733-110","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","74","Guzzo","ITA","16","17","15","0.52","33.33","48"
"1742812733-111","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","74","Sanguinetti","ITA","16","9","13","0.50","42.11","38"
"1742812733-112","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","75","Pace","ITA","15","10","8","0.42","45.45","33"
"1742812733-113","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","75","Basic","FRA","15","15","14","0.43","34.09","44"
"1742812733-114","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","75","Perrin","CAN","15","8","6","0.88","51.72","29"
"1742812733-115","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","75","Rousseaux","BEL","15","8","15","1.07","39.47","38"
"1742812733-116","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","76","Cottarelli","ITA","14","9","8","0.54","45.16","31"
"1742812733-117","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","77","Ekstrand","SWE","13","16","9","0.50","34.21","38"
"1742812733-118","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","77","Salsi","ITA","13","7","11","0.41","41.94","31"
"1742812733-119","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","78","Ropret","SLO","12","12","6","0.36","40.00","30"
"1742812733-120","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","78","Pereyra L.","ARG","12","12","6","0.55","40.00","30"
"1742812733-121","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","78","Lelli","ITA","12","8","7","0.39","44.44","27"
"1742812733-122","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","79","Dzavoronok","CZE","11","15","17","0.31","25.58","43"
"1742812733-123","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","79","Cortesia","ITA","11","8","12","0.35","35.48","31"
"1742812733-124","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","79","Magalini","ITA","11","10","10","0.35","35.48","31"
"1742812733-125","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","79","Marechal","FRA","11","2","3","0.38","68.75","16"
"1742812733-126","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","80","Marttila","FIN","10","17","9","0.31","27.78","36"
"1742812733-127","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","80","Beretta","ITA","10","12","23","0.31","22.22","45"
"1742812733-128","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","81","Bonacchi","ITA","9","7","2","0.26","50.00","18"
"1742812733-129","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","82","Zanni","ITA","8","3","3","0.31","57.14","14"
"1742812733-130","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","82","Bartman","POL","8","10","6","1.33","33.33","24"
"1742812733-131","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","83","Di Martino","ITA","7","16","6","0.25","24.14","29"
"1742812733-132","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","83","Jensen","DEN","7","2","2","0.23","63.64","11"
"1742812733-133","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","83","Martinez","ITA","7","6","4","0.32","41.18","17"
"1742812733-134","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","84","Nelli","ITA","6","9","10","0.17","24.00","25"
"1742812733-135","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","84","Mattei","ITA","6","1","7","0.23","42.86","14"
"1742812733-136","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","84","Alonso","CUB","6","4","5","0.18","40.00","15"
"1742812733-137","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","84","Diamantini","ITA","6","7","7","0.17","30.00","20"
"1742812733-138","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","84","Krick","GER","6","0","4","0.23","60.00","10"
"1742812733-139","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","84","Bossi","ITA","6","4","5","0.19","40.00","15"
"1742812733-140","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","85","Višić","CRO","5","12","6","0.24","21.74","23"
"1742812733-141","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","85","D'heer","BEL","5","5","14","0.14","20.83","24"
"1742812733-142","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","85","Colombo","ITA","5","4","1","0.14","50.00","10"
"1742812733-143","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","85","Gironi","ITA","5","3","4","0.15","41.67","12"
"1742812733-144","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","86","Mengozzi","ITA","4","4","1","0.12","44.44","9"
"1742812733-145","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","86","Pochini","ITA","4","7","0","0.18","36.36","11"
"1742812733-146","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","86","Fusaro","ITA","4","1","2","0.15","57.14","7"
"1742812733-147","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","87","Pinelli","ITA","3","6","6","0.14","20.00","15"
"1742812733-148","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","87","Lawrence","PUR","3","1","2","0.09","50.00","6"
"1742812733-149","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","88","Cardenas","CUB","2","4","3","0.06","22.22","9"
"1742812733-150","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","88","Sottile","ITA","2","1","1","0.05","50.00","4"
"1742812733-151","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","88","Gottardo","ITA","2","5","2","0.05","22.22","9"
"1742812733-152","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","88","Cengia","ITA","2","0","1","0.08","66.67","3"
"1742812733-153","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","Pirazzoli","ITA","1","3","2","0.03","16.67","6"
"1742812733-154","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","Depalma","ITA","1","5","16","0.03","4.55","22"
"1742812733-155","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","S. Ngapeth","FRA","1","2","2","0.11","20.00","5"
"1742812733-156","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","Cester","ITA","1","0","2","0.03","33.33","3"
"1742812733-157","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","De Weijer","NED","1","0","2","0.03","33.33","3"
"1742812733-158","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","Bonisoli","ITA","1","5","4","0.03","10.00","10"
"1742812733-159","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","Pope","AUS","1","1","0","0.06","50.00","2"
"1742812733-160","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","89","Hernandez C","FIV","1","2","1","0.08","25.00","4"
"1742812733-161","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Pisoni","ITA","0","0","0","","","0"
"1742812733-162","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Magliano","ITA","0","1","0","0.00","0.00","1"
"1742812733-163","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Mariani","ITA","0","1","0","0.00","0.00","1"
"1742812733-164","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Cavuto","ITA","0","3","5","0.00","0.00","8"
"1742812733-165","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Berger","ITA","0","0","0","","","0"
"1742812733-166","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Biglino","ITA","0","1","7","0.00","0.00","8"
"1742812733-167","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Hoffer","ITA","0","3","2","0.00","0.00","5"
"1742812733-168","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Zanotti","ITA","0","0","0","","","0"
