Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
29,Herrera,CUB,22,47,33,0.67,-24.51,102
29,Spirito,ITA,22,58,68,0.73,-24.32,148
29,Volpato,ITA,22,93,73,0.71,-37.77,188
29,Ran,JPN,22,45,41,0.71,-21.3,108
30,Semeniuk,POL,21,53,52,0.64,-25.4,126
30,Antonov,ITA,21,59,53,0.84,-28.57,133
30,Bottolo,ITA,21,46,44,0.57,-22.52,111
31,Alletti,ITA,20,75,75,0.77,-32.35,170
31,Loeppky,CAN,20,63,35,1.0,-36.44,118
31,Desmet,BEL,20,39,20,0.65,-24.05,79
32,Plotnytskyi,UKR,19,43,27,0.58,-26.97,89
32,Di Martino,ITA,19,64,77,0.68,-28.12,160
