web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742812629-66","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Kaliberda","GER","6","0","26","0.32","18.75","32"
"1742812629-67","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Staforini","ITA","6","0","20","0.24","23.08","26"
"1742812629-68","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Gaggini","ITA","6","2","116","0.19","4.84","124"
"1742812629-69","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Stefani","ITA","6","0","14","0.26","30.00","20"
"1742812629-70","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Garcia","USA","6","1","14","0.16","28.57","21"
"1742812629-71","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Sottile","ITA","6","0","34","0.16","15.00","40"
"1742812629-72","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Yant","CUB","6","1","40","0.16","12.77","47"
"1742812629-73","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","46","Raffaelli","ITA","5","0","6","0.23","45.45","11"
"1742812629-74","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","46","Loser Bruno","ARG","5","6","52","0.15","7.94","63"
"1742812629-75","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","46","Recine","ITA","5","0","25","0.14","16.67","30"
"1742812629-76","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","46","Pierri","ITA","5","0","13","0.19","27.78","18"
"1742812629-77","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","46","Chinenyeze","FRA","5","1","27","0.14","15.15","33"
"1742812629-78","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","46","A. Nikolov","BUL","5","1","30","0.14","13.89","36"
"1742812629-79","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","47","Ishikawa","JPN","4","2","115","0.11","3.31","121"
"1742812629-80","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","47","Zingel","ITA","4","3","14","0.15","19.05","21"
"1742812629-81","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","47","Bayram","TUR","4","1","43","0.15","8.33","48"
"1742812629-82","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","47","Ekstrand","SWE","4","2","9","0.15","26.67","15"
"1742812629-83","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","47","Anzani","ITA","4","1","32","0.11","10.81","37"
"1742812629-84","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Leon","POL","3","0","57","0.09","5.00","60"
"1742812629-85","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Beretta","ITA","3","1","8","0.09","25.00","12"
"1742812629-86","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Nelli","ITA","3","0","14","0.08","17.65","17"
"1742812629-87","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Pace","ITA","3","1","5","0.08","33.33","9"
"1742812629-88","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Patry","FRA","3","1","50","0.09","5.56","54"
"1742812629-89","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Možič","SLO","3","0","76","0.10","3.80","79"
"1742812629-90","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Gargiulo","ITA","3","4","4","0.12","27.27","11"
"1742812629-91","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Andreopoulos","GRE","3","1","6","0.12","30.00","10"
"1742812629-92","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","D'Amico","ITA","3","0","14","0.08","17.65","17"
"1742812629-93","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Gardini","ITA","3","1","30","0.10","8.82","34"
"1742812629-94","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","A. Lagumdzija","TUR","3","0","16","0.09","15.79","19"
"1742812629-95","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","48","Ricci","ITA","3","1","6","0.14","30.00","10"
"1742812629-96","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Russo","ITA","2","0","18","0.06","10.00","20"
"1742812629-97","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Galassi","ITA","2","1","20","0.06","8.70","23"
"1742812629-98","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Szwarc","CAN","2","3","22","0.06","7.41","27"
"1742812629-99","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Pinali","ITA","2","1","15","0.12","11.11","18"
"1742812629-100","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Mattei","ITA","2","0","2","0.08","50.00","4"
"1742812629-101","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Rossi","ITA","2","1","10","0.08","15.38","13"
"1742812629-102","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Dirlic P.","CRO","2","4","41","0.08","4.26","47"
