web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
"1741279003-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","62","Otávio","BRA","47","5","18","3.62","67.14","70"
"1741279003-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","63","Peng S.K.","CHN","46","11","29","3.83","53.49","86"
"1741279003-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","63","Mohammad","IRI","46","9","27","3.83","56.10","82"
"1741279003-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","63","Semeniuk","POL","46","15","44","4.18","43.81","105"
"1741279003-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","63","Ter Maat","NED","46","17","21","5.75","54.76","84"
"1741279003-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","63","Galassi","ITA","46","4","28","4.18","58.97","78"
"1741279003-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","64","Judson","BRA","45","4","13","3.46","72.58","62"
"1741279003-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","64","Kochanowski","POL","45","2","17","4.09","70.31","64"
"1741279003-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","65","Z. Štern","SLO","44","7","35","3.38","51.16","86"
"1741279003-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","66","Averill","USA","43","2","15","2.87","71.67","60"
"1741279003-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","67","Kolev","BUL","41","5","19","3.42","63.08","65"
"1741279003-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","67","Smith","USA","41","6","26","2.73","56.16","73"
"1741279003-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","67","Böhme","GER","41","13","34","3.42","46.59","88"
"1741279003-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","68","Zerba","ARG","40","4","31","3.08","53.33","75"
"1741279003-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","68","Röhrs","GER","40","16","27","5.00","48.19","83"
"1741279003-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","68","Krick","GER","40","9","17","3.33","60.61","66"
"1741279003-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","68","Bednorz","POL","40","13","32","3.64","47.06","85"
"1741279003-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","69","Huber","POL","39","8","18","3.55","60.00","65"
