Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
43,Van Garderen,NED,0,1,30,0.0,0.0,31
43,Van Der Ent,NED,0,0,0,,,0
43,Jorna,NED,0,2,27,0.0,0.0,29
43,Plak,NED,0,2,9,0.0,0.0,11
43,Tuinstra,NED,0,0,17,0.0,0.0,17
43,Nimir,NED,0,0,24,0.0,0.0,24
43,Andringa,NED,0,0,42,0.0,0.0,42
43,Bak,NED,0,0,0,,,0
43,Wiltenburg,NED,0,1,6,0.0,0.0,7
43,Wijkstra,NED,0,0,0,,,0
43,Lipke,NED,0,0,0,,,0
43,Otávio,BRA,0,0,3,0.0,0.0,3
43,Adriano,BRA,0,0,10,0.0,0.0,10
43,Abouba,BRA,0,0,1,0.0,0.0,1
43,Honorato,BRA,0,1,32,0.0,0.0,33
43,Maique,BRA,0,0,15,0.0,0.0,15
43,Thales,BRA,0,0,22,0.0,0.0,22
43,Arthur,BRA,0,0,5,0.0,0.0,5
43,Alan,BRA,0,0,19,0.0,0.0,19
43,Flavio,BRA,0,1,5,0.0,0.0,6
43,Thiery,BRA,0,0,0,,,0
43,Judson,BRA,0,0,2,0.0,0.0,2
43,Kaliberda,GER,0,0,5,0.0,0.0,5
43,Reichert,GER,0,0,39,0.0,0.0,39
43,Graven,GER,0,0,22,0.0,0.0,22
43,Brehme,GER,0,2,3,0.0,0.0,5
43,Schott,GER,0,1,31,0.0,0.0,32
43,Krage,GER,0,0,7,0.0,0.0,7
43,Röhrs,GER,0,1,9,0.0,0.0,10
43,Weber,GER,0,0,5,0.0,0.0,5
43,Krick,GER,0,1,3,0.0,0.0,4
43,Brand,GER,0,0,3,0.0,0.0,3
43,Maase,GER,0,0,1,0.0,0.0,1
43,Böhme,GER,0,0,3,0.0,0.0,3
43,Otsuka,JPN,0,0,11,0.0,0.0,11
43,Cooper,CAN,0,0,7,0.0,0.0,7
43,Salehi,IRI,0,0,0,,,0
43,Günthör,GER,0,0,0,,,0
43,Dagostino,USA,0,0,4,0.0,0.0,4
43,Jaeschke,USA,0,1,19,0.0,0.0,20
43,Mašulović N.,SRB,0,0,0,,,0
43,Mujanović,SLO,0,0,0,,,0
43,Ter Horst,NED,0,0,4,0.0,0.0,4
43,Ter Maat,NED,0,0,4,0.0,0.0,4
43,Parkinson,NED,0,0,2,0.0,0.0,2
43,Yang Y.M.,CHN,0,0,7,0.0,0.0,7
43,Lucas,BRA,0,0,0,,,0
43,Roque,BRA,0,0,6,0.0,0.0,6
43,Salparov,BUL,0,2,45,0.0,0.0,47
43,S.Ivanov,BUL,0,0,1,0.0,0.0,1
43,Michieletto,ITA,0,0,59,0.0,0.0,59
43,Scanferla,ITA,0,0,27,0.0,0.0,27
43,Galassi,ITA,0,0,6,0.0,0.0,6
43,Lavia,ITA,0,0,38,0.0,0.0,38
43,Anzani,ITA,0,0,1,0.0,0.0,1
43,Russo,ITA,0,0,9,0.0,0.0,9
43,Caneschi,ITA,0,0,0,,,0
43,Magalini,ITA,0,0,0,,,0
43,Kurek,POL,0,0,8,0.0,0.0,8
43,Leon,POL,0,1,21,0.0,0.0,22
43,Bednorz,POL,0,0,10,0.0,0.0,10
43,Adamczyk,POL,0,0,0,,,0
43,Kochanowski,POL,0,1,9,0.0,0.0,10
43,Zatorski,POL,0,0,53,0.0,0.0,53
43,Fornal,POL,0,0,12,0.0,0.0,12
43,Bołądź,POL,0,0,0,,,0
43,Huber,POL,0,1,10,0.0,0.0,11
43,Chinenyeze,FRA,0,1,7,0.0,0.0,8
43,Grebennikov,FRA,0,0,69,0.0,0.0,69
43,Patry,FRA,0,0,3,0.0,0.0,3
43,Boyer,FRA,0,0,8,0.0,0.0,8
43,Clevenot,FRA,0,0,21,0.0,0.0,21
43,Louati,FRA,0,0,7,0.0,0.0,7
43,Huetz,FRA,0,0,0,,,0
43,Vaccari,BRA,0,0,0,,,0
43,Piccinelli,ITA,0,1,12,0.0,0.0,13
43,Sala,ITA,0,0,0,,,0
43,Larry,JPN,0,0,0,,,0
43,Rao S.H.,CHN,0,0,0,,,0
43,Kovačević,SRB,0,0,3,0.0,0.0,3
43,Podraščanin,ITA,0,0,0,,,0
43,M. R. Moazzen,IRI,0,0,16,0.0,0.0,16
43,A. Afshinfar,IRI,0,0,0,,,0
43,Saadat,IRI,0,0,4,0.0,0.0,4
43,Le Goff,FRA,0,0,0,,,0
43,Popiwczak,POL,0,0,6,0.0,0.0,6
43,Kaczmarek,POL,0,1,14,0.0,0.0,15
43,Fromm,GER,0,0,9,0.0,0.0,9
43,V. Bratoev,BUL,0,0,6,0.0,0.0,6
43,K. Russell,USA,0,0,0,,,0
43,Daneshdoust,IRI,0,0,0,,,0
43,Nishiyama,JPN,0,0,0,,,0
43,Leal,BRA,0,0,0,,,0
