Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
28,Sanchez Pages,ARG,0,10,2,0.0,-83.33,12
28,Danani,ARG,0,0,0,,,0
28,Zelayeta,ARG,0,0,0,,,0
28,Hofer,CAN,0,5,2,0.0,-71.43,7
28,Blankenau,CAN,0,1,0,0.0,-100.0,1
28,Schnitzer,CAN,0,0,0,,,0
28,Lui,CAN,0,0,0,,,0
28,Currie,CAN,0,0,0,,,0
28,Garcia,CUB,0,0,0,,,0
28,Goide,CUB,0,1,0,0.0,-100.0,1
28,Gorguet,CUB,0,0,0,,,0
28,Kök,SLO,0,3,1,0.0,-75.0,4
28,Toman,SLO,0,0,0,,,0
28,Bračko,SLO,0,0,0,,,0
28,Štalekar,SLO,0,4,2,0.0,-66.67,6
28,Koncilja,SLO,0,0,0,,,0
28,Kovačič,SLO,0,0,0,,,0
28,Kapur,SRB,0,0,0,,,0
28,Gajović,SRB,0,0,0,,,0
28,Krsteski,SRB,0,0,0,,,0
28,Petrović,SRB,0,0,0,,,0
28,Szymanski,POL,0,4,2,0.0,-66.67,6
28,Szymura,POL,0,0,0,,,0
28,Hawryluk,POL,0,0,0,,,0
28,Sawicki,POL,0,0,5,0.0,0.0,5
28,Poręba,POL,0,0,0,,,0
28,Motta Paes,FRA,0,0,0,,,0
28,Henry,FRA,0,0,0,,,0
28,Pothron,FRA,0,0,0,,,0
28,Diez,FRA,0,0,0,,,0
28,Basic,FRA,0,0,0,,,0
28,Henno,FRA,0,0,0,,,0
28,Loubeyre,FRA,0,0,0,,,0
28,Roehrig,FRA,0,0,0,,,0
28,E. Shoji,USA,0,0,0,,,0
28,Van Der Ent,NED,0,0,0,,,0
28,Andringa,NED,0,0,0,,,0
28,Bak,NED,0,0,0,,,0
28,Wijkstra,NED,0,0,0,,,0
28,Lipke,NED,0,0,0,,,0
28,Fernando,BRA,0,4,9,0.0,-30.77,13
28,Maique,BRA,0,0,0,,,0
28,Thales,BRA,0,0,0,,,0
28,Thiery,BRA,0,0,0,,,0
28,Graven,GER,0,0,1,0.0,0.0,1
28,Otsuka,JPN,0,5,4,0.0,-55.56,9
28,Salehi,IRI,0,0,0,,,0
28,Zimmermann,GER,0,1,0,0.0,-100.0,1
28,Günthör,GER,0,0,0,,,0
28,Dagostino,USA,0,0,0,,,0
28,Tuaniga,USA,0,3,3,0.0,-50.0,6
28,Mašulović N.,SRB,0,2,5,0.0,-28.57,7
28,Giraudo,ARG,0,2,1,0.0,-66.67,3
28,Mujanović,SLO,0,0,0,,,0
28,Yang Y.M.,CHN,0,0,0,,,0
28,Chen L.Y.,CHN,0,3,3,0.0,-50.0,6
28,Salparov,BUL,0,0,0,,,0
28,Raev,BUL,0,3,1,0.0,-75.0,4
28,Scanferla,ITA,0,0,0,,,0
28,Caneschi,ITA,0,1,1,0.0,-50.0,2
28,Zatorski,POL,0,0,0,,,0
28,Grebennikov,FRA,0,0,0,,,0
28,Huetz,FRA,0,0,1,0.0,0.0,1
28,Vaccari,BRA,0,0,0,,,0
28,Piccinelli,ITA,0,0,0,,,0
28,Sala,ITA,0,1,0,0.0,-100.0,1
28,Larry,JPN,0,1,1,0.0,-50.0,2
28,Rao S.H.,CHN,0,0,0,,,0
28,Kovačević,SRB,0,0,1,0.0,0.0,1
28,Podraščanin,ITA,0,0,0,,,0
28,M. R. Moazzen,IRI,0,0,0,,,0
28,A. Ramezani,IRI,0,4,3,0.0,-57.14,7
28,A. Afshinfar,IRI,0,2,0,0.0,-100.0,2
28,Popiwczak,POL,0,0,0,,,0
28,Fromm,GER,0,6,8,0.0,-42.86,14
28,K. Russell,USA,0,0,0,,,0
28,Daneshdoust,IRI,0,0,0,,,0
28,Nishiyama,JPN,0,1,0,0.0,-100.0,1
28,Leal,BRA,0,1,0,0.0,-100.0,1
