Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
56,Antonov,ITA,1,11,15,0.03,-37.04,27
56,Orioli,ITA,1,10,6,0.04,-52.94,17
56,Zoppellari,ITA,1,1,3,0.04,0.0,5
56,Bisi,ITA,1,2,7,0.09,-10.0,10
56,Maiocchi,ITA,1,2,3,0.03,-16.67,6
56,Lanza,ITA,1,3,4,0.2,-25.0,8
56,André,QAT,1,17,15,0.06,-48.48,33
56,Salsi,ITA,1,2,0,0.04,-33.33,3
56,Nelli,ITA,1,4,11,0.08,-18.75,16
57,Piccinelli,ITA,0,0,0,,,0
57,Colaci,ITA,0,0,0,,,0
57,Cavaccini,ITA,0,0,0,,,0
57,Giani,ITA,0,1,2,0.0,-33.33,3
57,Picchio,ITA,0,0,0,,,0
57,Krick,GER,0,0,0,,,0
57,Albergati,ITA,0,3,0,0.0,-100.0,3
57,Zenger,GER,0,0,0,,,0
57,De Angelis,ITA,0,0,0,,,0
57,Donati,ITA,0,0,0,,,0
57,Bonami,ITA,0,0,0,,,0
57,Calligaro,ITA,0,5,5,0.0,-50.0,10
57,Federici,ITA,0,0,0,,,0
57,Galliani,ITA,0,0,0,,,0
57,Mitrašinović,CRO,0,0,0,,,0
57,Gaggini,ITA,0,0,0,,,0
57,Gollini,ITA,0,0,0,,,0
57,Sala,ITA,0,0,1,0.0,0.0,1
57,Rossini,ITA,0,0,0,,,0
57,Catania,ITA,0,0,1,0.0,0.0,1
57,Tondo,ITA,0,0,1,0.0,0.0,1
57,Scanferla,ITA,0,0,0,,,0
57,Pujol,FRA,0,10,8,0.0,-55.56,18
57,Pirazzoli,ITA,0,0,0,,,0
57,Goi,ITA,0,0,0,,,0
57,Peslac,ITA,0,0,0,,,0
57,Bassanello,ITA,0,0,0,,,0
57,Gottardo,ITA,0,0,0,,,0
57,Guzzo,ITA,0,0,0,,,0
57,Crosato,ITA,0,3,8,0.0,-27.27,11
57,Marchisio,ITA,0,0,0,,,0
57,Jeroncic,ITA,0,0,0,,,0
57,Balaso,ITA,0,0,0,,,0
57,Penna,ITA,0,1,0,0.0,-100.0,1
57,Ambrose,ITA,0,0,0,,,0
57,Laurenzano,ITA,0,0,0,,,0
57,Pellegrino,ITA,0,0,0,,,0
57,Pochini,ITA,0,0,0,,,0
57,Palonsky,ARG,0,11,9,0.0,-55.0,20
57,Rizzo,ITA,0,0,0,,,0
57,Partenio,ITA,0,1,3,0.0,-25.0,4
57,Nicotra,ITA,0,0,0,,,0
57,Staforini,ITA,0,0,0,,,0
57,Daldello,ITA,0,1,1,0.0,-50.0,2
57,Pesaresi,ITA,0,0,1,0.0,0.0,1
57,Carbone,ITA,0,0,0,,,0
57,Russo,ITA,0,0,0,,,0
57,Condorelli,ITA,0,0,0,,,0
57,Bellanova,ITA,0,0,0,,,0
57,Tauletta,ITA,0,0,0,,,0
57,Ricci Maccarini,ITA,0,0,0,,,0
57,Gianotti,ITA,0,0,0,,,0
57,Laurendi,ITA,0,0,0,,,0
57,Rossi,ITA,0,0,0,,,0
57,Sartoretti,ITA,0,0,0,,,0
57,Palmisano,ITA,0,0,0,,,0
57,Ran,JPN,0,2,1,0.0,-66.67,3
57,Magliano,ITA,0,0,0,,,0
57,Volpe,ITA,0,0,0,,,0
57,Broccatelli,ITA,0,0,0,,,0
57,Baroni,ITA,0,0,0,,,0
57,Pascucci,ITA,0,0,0,,,0
57,Simoni,ITA,0,0,0,,,0
57,Coser,ITA,0,0,0,,,0
57,Dell'Osso,ITA,0,1,1,0.0,-50.0,2
57,Parolari,ITA,0,0,0,,,0
57,Ranieri,ITA,0,0,0,,,0
57,Edwin,ITA,0,0,0,,,0
57,Tellone,ITA,0,0,0,,,0
