web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742808566-138","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","113","Bovolenta","ITA","3","2","2","1.00","42.86","7"
"1742808566-139","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","114","Sala","ITA","2","4","1","0.07","28.57","7"
"1742808566-140","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","114","André","QAT","2","3","8","0.12","15.38","13"
"1742808566-141","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","114","Ran","JPN","2","5","7","0.15","14.29","14"
"1742808566-142","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","115","Galliani","ITA","1","1","0","0.03","50.00","2"
"1742808566-143","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","115","Mitrašinović","CRO","1","0","1","0.08","50.00","2"
"1742808566-144","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","115","Partenio","ITA","1","0","1","0.04","50.00","2"
"1742808566-145","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Dardzāns","LAT","0","0","1","0.00","0.00","1"
"1742808566-146","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Piccinelli","ITA","0","0","0","","","0"
"1742808566-147","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Colaci","ITA","0","0","0","","","0"
"1742808566-148","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Cavaccini","ITA","0","0","0","","","0"
"1742808566-149","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Giani","ITA","0","0","0","","","0"
"1742808566-150","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Picchio","ITA","0","0","0","","","0"
"1742808566-151","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Krick","GER","0","0","0","","","0"
"1742808566-152","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Zenger","GER","0","0","0","","","0"
