web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742809622-78","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","59","De Angelis","ITA","8","3","38","0.25","16.33","49"
"1742809622-79","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","59","Volpato","ITA","8","0","6","0.33","57.14","14"
"1742809622-80","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","60","Bossi","ITA","7","0","24","0.21","22.58","31"
"1742809622-81","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","60","Alletti","ITA","7","2","8","0.24","41.18","17"
"1742809622-82","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","60","Chinenyeze","FRA","7","0","27","0.26","20.59","34"
"1742809622-83","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","61","Ter Horst","NED","6","2","28","0.17","16.67","36"
"1742809622-84","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","61","Stankovic","ITA","6","0","14","0.19","30.00","20"
"1742809622-85","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","61","S. Ngapeth","FRA","6","5","41","0.19","11.54","52"
"1742809622-86","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","61","Mazzone","ITA","6","4","13","0.19","26.09","23"
"1742809622-87","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","61","Fusaro","ITA","6","0","9","0.35","40.00","15"
"1742809622-88","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","61","Stefani","ITA","6","5","18","0.23","20.69","29"
"1742809622-89","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","62","Podraščanin","ITA","5","1","13","0.19","26.32","19"
"1742809622-90","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","62","Gollini","ITA","5","1","22","0.17","17.86","28"
"1742809622-91","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","62","Cester","ITA","5","1","8","0.15","35.71","14"
"1742809622-92","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","62","Erati","ITA","5","1","12","0.29","27.78","18"
"1742809622-93","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","62","Vitelli","ITA","5","1","22","0.21","17.86","28"
"1742809622-94","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","62","Staforini","ITA","5","2","6","0.16","38.46","13"
"1742809622-95","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","63","Russo","ITA","4","0","5","0.12","44.44","9"
"1742809622-96","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","63","Nikolic","SRB","4","2","8","0.13","28.57","14"
