web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741349236-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Russo","ITA","11","9","4","1.83","45.83","24"
"1741349236-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Darlan","BRA","11","10","2","2.75","47.83","23"
"1741349236-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Kochanowski","POL","11","8","5","1.83","45.83","24"
"1741349236-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Averill","USA","11","10","5","1.83","42.31","26"
"1741349236-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Danani","ARG","11","13","8","3.67","34.38","32"
"1741349236-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Le Goff","FRA","11","3","2","1.83","68.75","16"
"1741349236-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","26","Todorović","SRB","11","5","2","3.67","61.11","18"
"1741349236-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","27","Adriano","BRA","10","3","3","5.00","62.50","16"
"1741349236-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","27","Lima B.","ARG","10","2","2","3.33","71.43","14"
"1741349236-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","27","Facu","ARG","10","11","5","3.33","38.46","26"
"1741349236-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","27","Kujundžić","SRB","10","7","2","3.33","52.63","19"
"1741349236-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","28","Leal","BRA","9","2","3","2.25","64.29","14"
