web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742822661-101","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Giannelli","ITA","0","0","1","0.00","0.00","1"
"1742822661-102","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Galassi","ITA","0","0","2","0.00","0.00","2"
"1742822661-103","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Sbertoli","ITA","0","0","0","","","0"
"1742822661-104","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","TJ","CAN","0","0","1","0.00","0.00","1"
"1742822661-105","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Sclater","CAN","0","0","0","","","0"
"1742822661-106","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Vettori","ITA","0","0","1","0.00","0.00","1"
"1742822661-107","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Szwarc","CAN","0","0","0","","","0"
"1742822661-108","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Bruno","BRA","0","0","4","0.00","0.00","4"
"1742822661-109","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Wallace","BRA","0","0","0","","","0"
"1742822661-110","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Ben Slimene K","TUN","0","0","1","0.00","0.00","1"
"1742822661-111","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Kadhi A","TUN","0","1","2","0.00","0.00","3"
"1742822661-112","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Nagga H.","TUN","0","1","1","0.00","0.00","2"
"1742822661-113","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Fernando","BRA","0","0","0","","","0"
