Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
15,Maique,BRA,0,0,0,,,0
15,Lucas,BRA,0,0,0,,,0
15,Thales,BRA,0,0,3,0.0,0.0,3
15,Lucarelli,BRA,0,0,5,0.0,0.0,5
15,Roque,BRA,0,0,0,,,0
15,Alan,BRA,0,0,2,0.0,0.0,2
15,Flavio,BRA,0,0,0,,,0
15,Judson,BRA,0,0,0,,,0
15,Russell,USA,0,0,1,0.0,0.0,1
15,Larry,JPN,0,0,0,,,0
