web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
"1741286129-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Grebennikov","FRA","0","0","0","0"
"1741286129-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Bultor","FRA","0","0","0","0"
"1741286129-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Louati","FRA","0","0","0","0"
"1741286129-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Diez","FRA","0","0","0","0"
"1741286129-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Jouffroy","FRA","0","0","0","0"
"1741286129-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Balaso","ITA","0","0","0","0"
"1741286129-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Sbertoli","ITA","0","0","0","0"
"1741286129-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Scanferla","ITA","0","0","0","0"
"1741286129-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Bottolo","ITA","0","0","0","0"
"1741286129-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Gironi","ITA","0","0","0","0"
"1741286129-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Rinaldi","ITA","0","0","0","0"
"1741286129-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Sanguinetti","ITA","0","0","0","0"
"1741286129-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Mosca","ITA","0","0","0","0"
"1741286129-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Sanchez Pages","ARG","0","0","0","0"
"1741286129-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Gallego","ARG","0","0","0","0"
"1741286129-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Danani","ARG","0","0","0","0"
"1741286129-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Lima B.","ARG","0","0","0","0"
