web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741285702-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","43","Toniutti","FRA","39","16","4","2.60","66.10","59"
"1741285702-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","43","Mote","AUS","39","14","4","2.79","68.42","57"
"1741285702-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","43","Kovačević","SRB","39","22","6","3.90","58.21","67"
"1741285702-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","43","Krsmanović","SRB","39","12","4","2.60","70.91","55"
"1741285702-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","43","Vernon","CAN","39","20","4","2.60","61.90","63"
"1741285702-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","43","Poglajen","ARG","39","8","3","3.55","78.00","50"
"1741285702-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","44","Tillie","FRA","38","22","8","2.38","55.88","68"
"1741285702-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","44","Ensing","USA","38","10","3","2.71","74.51","51"
"1741285702-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","44","Martinez Franchi","ARG","38","6","0","3.17","86.36","44"
"1741285702-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","45","Reichert","GER","37","12","6","2.47","67.27","55"
"1741285702-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","45","Kurek","POL","37","12","7","3.36","66.07","56"
"1741285702-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","45","De Cecco","ARG","37","17","7","2.47","60.66","61"
"1741285702-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","45","Keemink","NED","37","14","4","3.70","67.27","55"
"1741285702-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","46","Hoag","CAN","36","16","9","2.40","59.02","61"
"1741285702-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","47","Mendez","ARG","35","18","6","2.33","59.32","59"
"1741285702-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","48","Kaliberda","GER","34","8","4","2.62","73.91","46"
"1741285702-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","48","Fernando","BRA","34","10","1","2.00","75.56","45"
"1741285702-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","49","Chinenyeze","FRA","33","7","5","1.94","73.33","45"
"1741285702-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","49","Baranov","RUS","33","16","3","2.20","63.46","52"
"1741285702-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","49","Leon","POL","33","16","4","2.54","62.26","53"
"1741285702-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","50","Atanasijević","SRB","32","14","6","2.13","61.54","52"
"1741285702-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","50","Douglas","BRA","32","11","6","1.88","65.31","49"
"1741285702-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","51","Kozamernik","SLO","31","16","2","1.94","63.27","49"
"1741285702-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","51","Loeppky","CAN","31","10","4","2.21","68.89","45"
"1741285702-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","52","Boyer","FRA","30","23","7","2.00","50.00","60"
"1741285702-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","52","Podraščanin","ITA","30","12","4","2.00","65.22","46"
"1741285702-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","52","Pajenk","SLO","30","6","1","1.76","81.08","37"
"1741285702-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","52","Fornal","POL","30","7","2","2.50","76.92","39"
"1741285702-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","52","Pinali","ITA","30","21","2","2.00","56.60","53"
"1741285702-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","52","Anderson","USA","30","16","6","3.33","57.69","52"
"1741285702-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","53","Spirito","ITA","29","13","3","1.93","64.44","45"
"1741285702-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","53","TJ","CAN","29","8","4","3.62","70.73","41"
"1741285702-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","Seganov","BUL","28","17","8","1.87","52.83","53"
"1741285702-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","Hirsch","GER","28","8","2","2.00","73.68","38"
"1741285702-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","Perić","SRB","28","8","5","1.87","68.29","41"
"1741285702-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","De Weijer","NED","28","16","5","2.55","57.14","49"
"1741285702-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","Podlesnykh","RUS","28","7","6","2.00","68.29","41"
"1741285702-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","Pankov","RUS","28","14","7","1.87","57.14","49"
"1741285702-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","Smith","USA","28","4","3","2.00","80.00","35"
"1741285702-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","54","Alan","BRA","28","10","4","1.75","66.67","42"
"1741285702-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","55","Luburić","SRB","27","11","1","1.80","69.23","39"
"1741285702-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","55","Maique","BRA","27","8","3","1.59","71.05","38"
"1741285702-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","56","Atanasov","BUL","26","10","3","1.73","66.67","39"
"1741285702-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","56","Fujii","JPN","26","12","5","2.89","60.47","43"
"1741285702-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","56","Cortesia","ITA","26","10","2","1.86","68.42","38"
"1741285702-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","56","Flavio","BRA","26","6","1","1.53","78.79","33"
"1741285702-114","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Diez","FRA","25","12","2","1.47","64.10","39"
"1741285702-115","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Parapunov","BUL","25","17","3","1.67","55.56","45"
"1741285702-116","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Krick","GER","25","1","2","1.79","89.29","28"
"1741285702-117","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Lee","JPN","25","8","2","1.67","71.43","35"
"1741285702-118","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Takanashi","JPN","25","27","2","1.79","46.30","54"
"1741285702-119","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Otsuka","JPN","25","15","2","1.67","59.52","42"
"1741285702-120","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Ter Horst","NED","25","17","2","2.27","56.82","44"
"1741285702-121","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","57","Pereyra L.","ARG","25","14","4","1.67","58.14","43"
"1741285702-122","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Weber","GER","24","11","7","1.85","57.14","42"
"1741285702-123","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Graham","AUS","24","29","4","1.60","42.11","57"
"1741285702-124","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Hazrat","IRI","24","15","6","1.85","53.33","45"
"1741285702-125","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Bogdan","RUS","24","4","4","1.60","75.00","32"
"1741285702-126","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Łomacz","POL","24","3","9","1.41","66.67","36"
"1741285702-127","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Bottolo","ITA","24","10","4","1.60","63.16","38"
"1741285702-128","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Sole","ITA","24","4","0","2.18","85.71","28"
"1741285702-129","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","58","Loser Bruno","ARG","24","8","4","2.00","66.67","36"
"1741285702-130","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","59","Louati","FRA","23","11","2","1.77","63.89","36"
"1741285702-131","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","59","M. Ivanov","BUL","23","3","3","1.53","79.31","29"
"1741285702-132","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","59","Vadi","IRI","23","12","2","2.56","62.16","37"
"1741285702-133","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","59","K. Shoji","USA","23","2","4","1.77","79.31","29"
"1741285702-134","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","59","Semeniuk","POL","23","8","5","1.77","63.89","36"
"1741285702-135","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","59","Mauricio","BRA","23","7","1","1.35","74.19","31"
"1741285702-136","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","60","Fromm","GER","22","6","1","1.47","75.86","29"
"1741285702-137","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","60","Jaeschke","USA","22","18","4","1.83","50.00","44"
"1741285702-138","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","61","Rossard T","FRA","21","13","3","2.10","56.76","37"
"1741285702-139","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","62","Le Goff","FRA","20","4","3","1.18","74.07","27"
"1741285702-140","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","62","Maar","CAN","20","3","5","2.00","71.43","28"
"1741285702-141","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","62","Bieniek","POL","20","7","3","1.54","66.67","30"
"1741285702-142","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","62","Śliwka","POL","20","4","0","1.33","83.33","24"
"1741285702-143","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","63","Fukuzawa","JPN","19","1","2","1.36","86.36","22"
"1741285702-144","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","63","Isac","BRA","19","6","3","1.19","67.86","28"
"1741285702-145","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Chavdarov","BUL","18","6","2","1.38","69.23","26"
"1741285702-146","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Petrov","BUL","18","4","2","1.20","75.00","24"
"1741285702-147","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Esfandiar","IRI","18","12","3","1.29","54.55","33"
"1741285702-148","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Kapur","SRB","18","11","4","1.20","54.55","33"
"1741285702-149","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Holt","USA","18","2","0","1.50","90.00","20"
"1741285702-150","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Kochanowski","POL","18","5","2","1.50","72.00","25"
"1741285702-151","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Ramos","ARG","18","6","7","1.20","58.06","31"
"1741285702-152","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Plak","NED","18","6","0","1.38","75.00","24"
"1741285702-153","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Kujundžić","SRB","18","5","2","1.29","72.00","25"
"1741285702-154","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Todorović","SRB","18","6","0","1.38","75.00","24"
"1741285702-155","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","64","Lima B.","ARG","18","8","3","2.57","62.07","29"
"1741285702-156","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","65","Senica","AUS","17","7","5","1.13","58.62","29"
