web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
"1741284222-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Bultor","FRA","0","0","0","","","0"
"1741284222-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Louati","FRA","0","0","0","","","0"
"1741284222-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Diez","FRA","0","0","0","","","0"
"1741284222-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Carle","FRA","0","0","0","","","0"
"1741284222-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Jouffroy","FRA","0","0","0","","","0"
"1741284222-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Balaso","ITA","0","0","0","","","0"
"1741284222-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Sbertoli","ITA","0","0","0","","","0"
"1741284222-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Scanferla","ITA","0","0","0","","","0"
"1741284222-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Bottolo","ITA","0","0","0","","","0"
"1741284222-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Gironi","ITA","0","0","0","","","0"
"1741284222-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Rinaldi","ITA","0","0","0","","","0"
