web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
"1741284028-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Mujanović","SLO","0","0","0","0"
"1741284028-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Popiwczak","POL","0","0","0","0"
"1741284028-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Łomacz","POL","0","0","0","0"
"1741284028-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Zatorski","POL","0","0","0","0"
"1741284028-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Bruno","BRA","0","0","0","0"
"1741284028-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Otávio","BRA","0","0","0","0"
"1741284028-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Adriano","BRA","0","0","0","0"
"1741284028-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Fernando","BRA","0","0","0","0"
"1741284028-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Maique","BRA","0","0","0","0"
"1741284028-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Thales","BRA","0","0","0","0"
"1741284028-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Judson","BRA","0","0","0","0"
"1741284028-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Larry","JPN","0","0","0","0"
