web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741288251-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","18","Bieniek","POL","5","5","4","1.67","35.71","14"
"1741288251-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","18","Fornal","POL","5","1","1","1.67","71.43","7"
"1741288251-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","19","Honorato","BRA","4","1","1","4.00","66.67","6"
"1741288251-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Averill","USA","3","1","1","1.00","60.00","5"
"1741288251-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Patry","FRA","3","0","0","3.00","100.00","3"
"1741288251-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Boyer","FRA","3","0","1","3.00","75.00","4"
"1741288251-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Galassi","ITA","3","1","0","1.00","75.00","4"
"1741288251-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Palonsky","ARG","3","1","2","3.00","50.00","6"
"1741288251-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","De Cecco","ARG","3","5","0","3.00","37.50","8"
"1741288251-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Vicentin","ARG","3","0","0","3.00","100.00","3"
"1741288251-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Otsuka","JPN","3","2","1","1.00","50.00","6"
"1741288251-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Yamauchi","JPN","3","1","1","1.00","60.00","5"
"1741288251-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Pajenk","SLO","3","0","0","3.00","100.00","3"
"1741288251-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Ropret","SLO","3","3","0","3.00","50.00","6"
"1741288251-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Čebulj","SLO","3","4","1","3.00","37.50","8"
"1741288251-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Kurek","POL","3","1","0","1.00","75.00","4"
"1741288251-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Fernando","BRA","3","2","2","3.00","42.86","7"
"1741288251-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Lucarelli","BRA","3","3","0","3.00","50.00","6"
"1741288251-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","20","Alan","BRA","3","2","0","3.00","60.00","5"
"1741288251-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","21","Ma'a","USA","2","0","0","0.67","100.00","2"
"1741288251-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","21","Muagututia","USA","2","1","1","0.67","50.00","4"
"1741288251-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","21","Nishiyama","JPN","2","0","0","0.67","100.00","2"
"1741288251-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","21","Huber","POL","2","2","0","0.67","50.00","4"
"1741288251-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","21","Russell","USA","2","2","0","1.00","50.00","4"
"1741288251-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Hanes","USA","1","0","0","0.33","100.00","1"
"1741288251-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Le Goff","FRA","1","1","0","1.00","50.00","2"
"1741288251-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Sanchez Pages","ARG","1","0","0","1.00","100.00","1"
"1741288251-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Loser Bruno","ARG","1","0","0","1.00","100.00","1"
"1741288251-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Tomita","JPN","1","0","0","0.33","100.00","1"
"1741288251-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Planinšič","SLO","1","0","0","1.00","100.00","1"
"1741288251-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Bednorz","POL","1","0","0","0.33","100.00","1"
"1741288251-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Bruno","BRA","1","2","0","1.00","33.33","3"
"1741288251-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Lucas","BRA","1","0","0","1.00","100.00","1"
"1741288251-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","22","Flavio","BRA","1","0","1","1.00","50.00","2"
"1741288251-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Jendryk","USA","0","0","0","","","0"
"1741288251-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Dagostino","USA","0","0","0","","","0"
"1741288251-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Chinenyeze","FRA","0","1","1","0.00","0.00","2"
"1741288251-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Toniutti","FRA","0","3","1","0.00","0.00","4"
"1741288251-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Bultor","FRA","0","0","0","","","0"
"1741288251-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Louati","FRA","0","0","0","","","0"
"1741288251-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Diez","FRA","0","0","0","","","0"
"1741288251-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Carle","FRA","0","1","0","0.00","0.00","1"
"1741288251-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Jouffroy","FRA","0","0","0","","","0"
"1741288251-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Sbertoli","ITA","0","0","0","","","0"
"1741288251-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Scanferla","ITA","0","0","0","","","0"
"1741288251-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Bottolo","ITA","0","0","0","","","0"
"1741288251-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Gironi","ITA","0","2","0","0.00","0.00","2"
"1741288251-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Rinaldi","ITA","0","0","0","","","0"
"1741288251-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Sanguinetti","ITA","0","0","0","","","0"
"1741288251-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Mosca","ITA","0","0","0","","","0"
"1741288251-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Martinez Franchi","ARG","0","0","0","","","0"
"1741288251-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Gallego","ARG","0","0","0","","","0"
"1741288251-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Zelayeta","ARG","0","0","0","","","0"
"1741288251-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Armoa Morel","ARG","0","0","1","0.00","0.00","1"
"1741288251-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Lima B.","ARG","0","0","0","","","0"
"1741288251-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Kukartsev","ARG","0","0","0","","","0"
"1741288251-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Ramos","ARG","0","2","0","0.00","0.00","2"
"1741288251-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Zerba","ARG","0","0","0","","","0"
"1741288251-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Kentaro","JPN","0","0","0","","","0"
"1741288251-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Ogawa","JPN","0","0","0","","","0"
"1741288251-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Eiro","JPN","0","1","0","0.00","0.00","1"
"1741288251-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Kozamernik","SLO","0","0","0","","","0"
"1741288251-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Kök","SLO","0","0","0","","","0"
"1741288251-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Toman","SLO","0","0","0","","","0"
"1741288251-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Štalekar","SLO","0","0","0","","","0"
"1741288251-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Koncilja","SLO","0","0","0","","","0"
"1741288251-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Z. Štern","SLO","0","1","0","0.00","0.00","1"
"1741288251-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Mujanović","SLO","0","0","0","","","0"
"1741288251-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Popiwczak","POL","0","0","0","","","0"
"1741288251-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Łomacz","POL","0","0","0","","","0"
"1741288251-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Semeniuk","POL","0","1","0","0.00","0.00","1"
"1741288251-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Otávio","BRA","0","0","0","","","0"
"1741288251-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Adriano","BRA","0","0","0","","","0"
"1741288251-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Leal","BRA","0","0","0","","","0"
"1741288251-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Maique","BRA","0","0","0","","","0"
"1741288251-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Roque","BRA","0","0","0","","","0"
"1741288251-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Judson","BRA","0","0","0","","","0"
"1741288251-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","23","Larry","JPN","0","0","0","","","0"
