web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1741288175-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Bednorz","POL","0","0","0","","","0"
"1741288175-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Łomacz","POL","0","0","1","0.00","0.00","1"
"1741288175-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kochanowski","POL","0","0","1","0.00","0.00","1"
"1741288175-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Semeniuk","POL","0","0","0","","","0"
"1741288175-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Zatorski","POL","0","0","14","0.00","0.00","14"
"1741288175-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Bieniek","POL","0","0","3","0.00","0.00","3"
"1741288175-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Fornal","POL","0","0","4","0.00","0.00","4"
"1741288175-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Huber","POL","0","1","0","0.00","0.00","1"
"1741288175-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Otávio","BRA","0","0","0","","","0"
"1741288175-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Adriano","BRA","0","0","0","","","0"
"1741288175-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Honorato","BRA","0","0","2","0.00","0.00","2"
"1741288175-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Leal","BRA","0","0","0","","","0"
"1741288175-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Maique","BRA","0","0","0","","","0"
"1741288175-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Lucas","BRA","0","0","0","","","0"
"1741288175-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Thales","BRA","0","0","3","0.00","0.00","3"
"1741288175-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Lucarelli","BRA","0","0","5","0.00","0.00","5"
"1741288175-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Roque","BRA","0","0","0","","","0"
"1741288175-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Alan","BRA","0","0","2","0.00","0.00","2"
"1741288175-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Flavio","BRA","0","0","0","","","0"
"1741288175-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Judson","BRA","0","0","0","","","0"
"1741288175-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Russell","USA","0","0","1","0.00","0.00","1"
"1741288175-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Larry","JPN","0","0","0","","","0"
