web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
"1741288095-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","7","Yamauchi","JPN","1","3","22","0.33","3.85","26"
"1741288095-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","7","Sekita","JPN","1","1","45","0.33","2.13","47"
"1741288095-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","7","Nishiyama","JPN","1","2","2","0.33","20.00","5"
"1741288095-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","7","Kaczmarek","POL","1","9","28","0.33","2.63","38"
"1741288095-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","7","Janusz","POL","1","2","33","0.33","2.78","36"
"1741288095-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","7","Huber","POL","1","1","19","0.33","4.76","21"
"1741288095-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","7","Alan","BRA","1","2","6","1.00","11.11","9"
"1741288095-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Jendryk","USA","0","0","0","","","0"
"1741288095-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Hanes","USA","0","1","0","0.00","0.00","1"
"1741288095-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Dagostino","USA","0","0","0","","","0"
"1741288095-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Ma'a","USA","0","0","3","0.00","0.00","3"
"1741288095-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Muagututia","USA","0","0","6","0.00","0.00","6"
"1741288095-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","E. Shoji","USA","0","0","0","","","0"
"1741288095-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Grebennikov","FRA","0","0","0","","","0"
"1741288095-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Toniutti","FRA","0","0","6","0.00","0.00","6"
"1741288095-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Tillie","FRA","0","2","20","0.00","0.00","22"
"1741288095-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Boyer","FRA","0","1","3","0.00","0.00","4"
"1741288095-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Bultor","FRA","0","0","0","","","0"
"1741288095-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Clevenot","FRA","0","4","6","0.00","0.00","10"
"1741288095-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Louati","FRA","0","0","0","","","0"
"1741288095-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Diez","FRA","0","0","0","","","0"
"1741288095-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Carle","FRA","0","0","0","","","0"
"1741288095-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Jouffroy","FRA","0","4","2","0.00","0.00","6"
"1741288095-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Balaso","ITA","0","0","0","","","0"
"1741288095-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Sbertoli","ITA","0","1","0","0.00","0.00","1"
"1741288095-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Scanferla","ITA","0","0","0","","","0"
"1741288095-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Bottolo","ITA","0","0","0","","","0"
"1741288095-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Lavia","ITA","0","6","25","0.00","0.00","31"
"1741288095-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Gironi","ITA","0","0","4","0.00","0.00","4"
"1741288095-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Rinaldi","ITA","0","0","2","0.00","0.00","2"
"1741288095-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Sanguinetti","ITA","0","0","0","","","0"
"1741288095-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Mosca","ITA","0","0","0","","","0"
"1741288095-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Sanchez Pages","ARG","0","0","1","0.00","0.00","1"
"1741288095-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Martinez Franchi","ARG","0","1","1","0.00","0.00","2"
"1741288095-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Gallego","ARG","0","0","0","","","0"
"1741288095-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Palonsky","ARG","0","4","4","0.00","0.00","8"
"1741288095-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Danani","ARG","0","0","0","","","0"
"1741288095-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Zelayeta","ARG","0","1","0","0.00","0.00","1"
"1741288095-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Lima B.","ARG","0","0","0","","","0"
"1741288095-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","De Cecco","ARG","0","0","6","0.00","0.00","6"
"1741288095-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Kukartsev","ARG","0","1","5","0.00","0.00","6"
"1741288095-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Vicentin","ARG","0","1","2","0.00","0.00","3"
"1741288095-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Ramos","ARG","0","1","4","0.00","0.00","5"
"1741288095-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Zerba","ARG","0","0","0","","","0"
"1741288095-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Nishida","JPN","0","4","5","0.00","0.00","9"
"1741288095-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Otsuka","JPN","0","0","3","0.00","0.00","3"
"1741288095-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Kentaro","JPN","0","1","3","0.00","0.00","4"
"1741288095-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Tomita","JPN","0","0","0","","","0"
"1741288095-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Ogawa","JPN","0","0","0","","","0"
"1741288095-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Yamamoto","JPN","0","0","0","","","0"
"1741288095-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Eiro","JPN","0","0","1","0.00","0.00","1"
"1741288095-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Pajenk","SLO","0","2","5","0.00","0.00","7"
"1741288095-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Planinšič","SLO","0","1","6","0.00","0.00","7"
"1741288095-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Kozamernik","SLO","0","2","11","0.00","0.00","13"
"1741288095-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Kök","SLO","0","0","0","","","0"
"1741288095-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Toman","SLO","0","0","0","","","0"
"1741288095-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Štalekar","SLO","0","0","0","","","0"
"1741288095-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Koncilja","SLO","0","0","0","","","0"
"1741288095-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Kovačič","SLO","0","0","0","","","0"
"1741288095-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Z. Štern","SLO","0","0","4","0.00","0.00","4"
"1741288095-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Ropret","SLO","0","0","6","0.00","0.00","6"
"1741288095-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Urnaut","SLO","0","3","8","0.00","0.00","11"
"1741288095-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Čebulj","SLO","0","1","9","0.00","0.00","10"
"1741288095-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Možič","SLO","0","1","7","0.00","0.00","8"
"1741288095-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Mujanović","SLO","0","0","0","","","0"
"1741288095-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Popiwczak","POL","0","0","0","","","0"
"1741288095-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Kurek","POL","0","3","5","0.00","0.00","8"
"1741288095-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Bednorz","POL","0","0","1","0.00","0.00","1"
"1741288095-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Łomacz","POL","0","0","0","","","0"
"1741288095-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Semeniuk","POL","0","0","1","0.00","0.00","1"
"1741288095-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Zatorski","POL","0","0","0","","","0"
"1741288095-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Fornal","POL","0","1","5","0.00","0.00","6"
"1741288095-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Bruno","BRA","0","0","5","0.00","0.00","5"
"1741288095-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Otávio","BRA","0","2","0","0.00","0.00","2"
"1741288095-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Adriano","BRA","0","0","0","","","0"
"1741288095-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Honorato","BRA","0","0","6","0.00","0.00","6"
"1741288095-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Leal","BRA","0","2","1","0.00","0.00","3"
"1741288095-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Fernando","BRA","0","0","3","0.00","0.00","3"
"1741288095-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Maique","BRA","0","0","0","","","0"
"1741288095-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Thales","BRA","0","0","0","","","0"
"1741288095-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Roque","BRA","0","0","1","0.00","0.00","1"
"1741288095-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Flavio","BRA","0","2","10","0.00","0.00","12"
"1741288095-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Judson","BRA","0","0","0","","","0"
"1741288095-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Russell","USA","0","2","4","0.00","0.00","6"
"1741288095-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-servers/","8","Larry","JPN","0","0","0","","","0"
