web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742891140-61","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","38","Soria R.","ARG","3","5","4","1.00","25.00","12"
"1742891140-62","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","38","Soria S.","ARG","3","0","4","1.00","42.86","7"
"1742891140-63","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","39","Mohsen","IRI","2","1","1","0.67","50.00","4"
"1742891140-64","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","39","Karami","IRI","2","4","0","0.40","33.33","6"
"1742891140-65","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","39","Rech","BRA","2","0","2","0.67","50.00","4"
"1742891140-66","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","39","Temponi","BRA","2","3","4","0.67","22.22","9"
"1742891140-67","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","39","Eslam","EGY","2","2","2","0.67","33.33","6"
"1742891140-68","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","39","Seif Abed","EGY","2","2","2","0.67","33.33","6"
"1742891140-69","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","39","Oppenkoski","BRA","2","1","0","0.40","66.67","3"
"1742891140-70","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","40","Acquarone","ITA","1","0","1","0.20","50.00","2"
"1742891140-71","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","40","Ilshan","IRI","1","0","0","0.33","100.00","1"
"1742891140-72","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","40","Davi Tenorio","ESP","1","0","0","0.20","100.00","1"
"1742891140-73","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","40","B. Alves","BRA","1","0","1","0.33","50.00","2"
"1742891140-74","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","40","Abdalla","EGY","1","0","0","0.33","100.00","1"
"1742891140-75","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","40","Steeman","ARG","1","0","0","0.33","100.00","1"
"1742891140-76","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Pesaresi","ITA","0","0","0","","","0"
"1742891140-77","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Sbertoli","ITA","0","0","0","","","0"
"1742891140-78","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Laurenzano","ITA","0","0","0","","","0"
"1742891140-79","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Ali Asghar","IRI","0","0","0","","","0"
"1742891140-80","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Mehdi","IRI","0","0","0","","","0"
"1742891140-81","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Ahmadreza","IRI","0","1","0","0.00","0.00","1"
"1742891140-82","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Seyed","IRI","0","0","0","","","0"
"1742891140-83","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","M. R. Moazzen","IRI","0","0","0","","","0"
"1742891140-84","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Ashkan","IRI","0","0","0","","","0"
"1742891140-85","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Ahmadreza","IRI","0","0","0","","","0"
"1742891140-86","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Marandi","IRI","0","0","0","","","0"
"1742891140-87","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Armin","IRI","0","0","0","","","0"
"1742891140-88","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Orduna","ITA","0","0","0","","","0"
"1742891140-89","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Bisotto","ITA","0","0","0","","","0"
"1742891140-90","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Balaso","ITA","0","0","0","","","0"
"1742891140-91","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Arthur","BRA","0","0","0","","","0"
"1742891140-92","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Wallaf","BRA","0","0","0","","","0"
"1742891140-93","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Gustavo","BRA","0","0","3","0.00","0.00","3"
"1742891140-94","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Aladdin","BRA","0","3","0","0.00","0.00","3"
"1742891140-95","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Pedro","BRA","0","0","0","","","0"
"1742891140-96","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","M. Ramadan","EGY","0","0","0","","","0"
"1742891140-97","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Garcia","CUB","0","0","0","","","0"
"1742891140-98","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Khaled. A","EGY","0","3","1","0.00","0.00","4"
"1742891140-99","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","A. Seoudy","EGY","0","0","2","0.00","0.00","2"
"1742891140-100","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Felipe","BRA","0","0","0","","","0"
"1742891140-101","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Velasco","COL","0","0","0","","","0"
"1742891140-102","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Lukinhas","BRA","0","0","0","","","0"
"1742891140-103","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Rodrigo","BRA","0","0","0","","","0"
"1742891140-104","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Alexandre","BRA","0","0","0","","","0"
"1742891140-105","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Martos","BRA","0","0","0","","","0"
"1742891140-106","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Albrecht","ARG","0","0","0","","","0"
"1742891140-107","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Zalcman","ARG","0","0","0","","","0"
"1742891140-108","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Gonzalez","ARG","0","0","2","0.00","0.00","2"
"1742891140-109","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","41","Nicolas","ARG","0","0","0","","","0"
